claim_ref,policy_no,loss_date,report_date,status,peril_code,region,paid_gbp,outstanding_gbp,incurred_gbp
BRD-2025M11-000086,POL-3481566,2025-05-31,2025-05-31,Closed,TPPD,London,311.49,0.00,311.49
BRD-2025M11-000087,POL-6274013,2025-07-18,2025-07-20,Reopened,TPBI,South,327.45,810.90,1138.35
BRD-2025M11-000088,POL-3780965,2024-11-27,2024-11-30,Open,AD,North,1390.78,1256.81,2647.59
BRD-2025M11-000089,POL-7119041,2024-09-13,2024-09-16,Closed,WS,London,4096.40,0.00,4096.40
BRD-2025M11-000090,POL-4346527,2025-03-16,2025-03-30,Closed,AD,London,237.22,0.00,237.22
BRD-2025M11-000091,POL-7871299,2025-10-10,2025-10-14,Closed,WS,London,1644.08,0.00,1644.08
BRD-2025M11-000092,POL-6228910,2024-08-13,2024-08-22,Closed,AD,London,132.32,0.00,132.32
BRD-2025M11-000093,POL-6060316,2025-08-03,2025-08-08,Closed,TPBI,South,5168.28,0.00,5168.28
BRD-2025M11-000094,POL-7653013,2025-09-06,2025-09-08,Closed,AD,London,3080.77,0.00,3080.77
BRD-2025M11-000095,POL-4542299,2025-10-21,2025-11-04,Closed,TPPD,Midlands,309.18,0.00,309.18
BRD-2025M11-000096,POL-6479066,2025-08-18,2025-09-18,Open,TH,London,1285.65,4744.41,6030.06
BRD-2025M11-000097,POL-1672015,2024-08-15,2024-08-25,Closed,WS,London,1781.70,0.00,1781.70
BRD-2025M11-000098,POL-1216835,2025-11-09,2025-11-09,Closed,AD,Midlands,817.55,0.00,817.55
BRD-2025M11-000099,POL-4060951,2025-05-31,2025-06-08,Open,TH,South,2725.70,3321.23,6046.93
BRD-2025M11-000100,POL-7015657,2025-01-20,2025-02-09,Closed,TPPD,London,1430.02,0.00,1430.02
BRD-2025M11-000101,POL-9302187,2025-11-06,2025-11-10,Open,WS,London,57.06,81.61,138.67
BRD-2025M11-000102,POL-3317960,2025-06-27,2025-06-27,Closed,TH,South,229.52,0.00,229.52
BRD-2025M11-000103,POL-6254057,2024-12-02,2024-12-05,Closed,AD,London,1396.67,0.00,1396.67
BRD-2025M11-000104,POL-5316045,2025-02-15,2025-02-17,Open,TPBI,London,19.89,572.96,592.85
BRD-2025M11-000105,POL-4202630,2025-11-30,2025-11-30,Closed,FI,South,241.76,0.00,241.76
BRD-2025M11-000106,POL-1008134,2025-09-22,2025-10-02,Open,TH,South,637.53,558.57,1196.10
BRD-2025M11-000107,POL-2121133,2025-03-08,2025-03-29,Closed,TPBI,North,2559.07,0.00,2559.07
BRD-2025M11-000108,POL-3471290,2025-09-15,2025-09-30,Closed,TPPD,Scotland,2185.53,0.00,2185.53
BRD-2025M11-000109,POL-8627194,2025-11-02,2025-11-19,Open,WS,South,417.04,3118.29,3535.33
BRD-2025M11-000110,POL-6193388,2025-10-29,2025-11-05,Closed,TPBI,Scotland,14440.10,0.00,14440.10
BRD-2025M11-000111,POL-1315126,2024-08-14,2024-09-13,Closed,TPPD,Midlands,2534.75,0.00,2534.75
BRD-2025M11-000112,POL-3954540,2025-11-22,2025-11-30,Closed,AD,North,3472.54,0.00,3472.54
BRD-2025M11-000113,POL-2819871,2025-08-12,2025-09-20,Closed,FI,Scotland,664.36,0.00,664.36
BRD-2025M11-000114,POL-4684208,2025-06-23,2025-06-23,Open,AD,Midlands,359.90,1202.13,1562.03
BRD-2025M11-000115,POL-2993710,2024-12-04,2025-01-04,Open,FI,North,236.03,207.88,443.91
BRD-2025M11-000116,POL-8692625,2025-07-16,2025-07-20,Closed,AD,London,1770.25,0.00,1770.25
BRD-2025M11-000117,POL-1655581,2025-03-07,2025-03-07,Closed,TPPD,South,1267.48,0.00,1267.48
BRD-2025M11-000118,POL-5590989,2025-02-21,2025-02-25,Closed,WS,London,405.70,0.00,405.70
BRD-2025M11-000119,POL-3901789,2025-10-19,2025-10-20,Closed,TPPD,Midlands,4063.59,0.00,4063.59
BRD-2025M11-000120,POL-1587890,2025-05-06,2025-06-21,Closed,WS,South,6764.85,0.00,6764.85
BRD-2025M11-000121,POL-3869691,2025-11-25,2025-11-26,Closed,TPBI,South,540.75,0.00,540.75
BRD-2025M11-000122,POL-4894843,2024-09-02,2024-09-19,Closed,TPPD,London,939.52,0.00,939.52
BRD-2025M11-000123,POL-5645974,2024-04-20,2024-04-23,Open,TPPD,London,2635.55,5406.55,8042.10
BRD-2025M11-000124,POL-2561120,2025-08-05,2025-08-11,Open,TPPD,North,1115.79,663.15,1778.94
BRD-2025M11-000125,POL-5212900,2025-02-10,2025-02-16,Open,TPPD,Midlands,43.81,2942.95,2986.76
BRD-2025M11-000126,POL-4077314,2025-05-09,2025-05-13,Open,TPPD,North,6.20,643.59,649.79
BRD-2025M11-000127,POL-6192359,2025-08-15,2025-09-01,Open,AD,Scotland,307.69,1619.50,1927.19
BRD-2025M11-000128,POL-8246798,2025-01-25,2025-01-26,Open,TPPD,London,447.59,311.79,759.38
BRD-2025M11-000129,POL-3753657,2024-08-29,2024-09-14,Closed,AD,Midlands,445.36,0.00,445.36
BRD-2025M11-000130,POL-4430597,2024-11-02,2024-11-21,Closed,TPBI,London,397.08,0.00,397.08
BRD-2025M11-000131,POL-5475016,2024-09-15,2024-10-03,Closed,TH,Scotland,408.01,0.00,408.01
BRD-2025M11-000132,POL-1397480,2025-07-08,2025-07-10,Closed,AD,South,3553.33,0.00,3553.33
BRD-2025M11-000133,POL-5958693,2025-05-13,2025-06-12,Reopened,AD,Midlands,1420.26,3167.98,4588.24
BRD-2025M11-000134,POL-5618401,2025-11-16,2025-11-21,Closed,AD,South,2939.19,0.00,2939.19
BRD-2025M11-000135,POL-7153441,2025-10-18,2025-10-19,Open,AD,Midlands,4240.20,3643.04,7883.24
BRD-2025M11-000136,POL-2903044,2025-11-18,2025-11-30,ClosedWithoutPayment,TPPD,North,0.00,0.00,0.00
BRD-2025M11-000137,POL-4314616,2025-11-15,2025-11-16,Closed,TPPD,Scotland,2175.55,0.00,2175.55
BRD-2025M11-000138,POL-2397302,2025-03-20,2025-04-12,Closed,WS,Scotland,3173.00,0.00,3173.00
BRD-2025M11-000139,POL-8466904,2025-07-31,2025-08-05,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M11-000140,POL-8986424,2024-07-25,2024-08-03,Open,AD,Midlands,1219.39,1256.75,2476.14
BRD-2025M11-000141,POL-7386554,2025-03-01,2025-03-05,Closed,AD,North,919.40,0.00,919.40
BRD-2025M11-000142,POL-7819886,2025-09-02,2025-09-15,Closed,AD,Scotland,3157.61,0.00,3157.61
BRD-2025M11-000143,POL-8212153,2025-08-08,2025-08-18,Open,WS,London,345.80,2395.55,2741.35
BRD-2025M11-000144,POL-6180259,2025-08-28,2025-10-18,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M11-000145,POL-9836739,2025-08-25,2025-08-28,Closed,AD,Scotland,2135.38,0.00,2135.38
BRD-2025M11-000146,POL-6944435,2025-03-01,2025-03-06,Open,TH,London,100.76,151.45,252.21
BRD-2025M11-000147,POL-6531697,2025-05-21,2025-05-23,Closed,AD,London,6108.83,0.00,6108.83
BRD-2025M11-000148,POL-6204671,2025-08-12,2025-08-13,Closed,TPPD,South,3415.20,0.00,3415.20
BRD-2025M11-000149,POL-6115999,2025-09-15,2025-09-16,Closed,AD,London,1931.08,0.00,1931.08
BRD-2025M11-000150,POL-4447498,2025-11-01,2025-11-03,Closed,TPPD,Midlands,1633.22,0.00,1633.22
BRD-2025M11-000151,POL-7622789,2025-08-18,2025-08-29,Open,TH,Scotland,49.96,930.30,980.26
BRD-2025M11-000152,POL-3424277,2025-06-29,2025-07-06,Open,TPBI,North,78.40,537.68,616.08
BRD-2025M11-000153,POL-6682449,2025-10-10,2025-10-15,Open,FI,South,12601.71,21040.31,33642.02
BRD-2025M11-000154,POL-3627414,2025-08-08,2025-09-03,Closed,TPPD,Scotland,1922.11,0.00,1922.11
BRD-2025M11-000155,POL-2706820,2025-03-17,2025-04-01,Closed,AD,North,339.82,0.00,339.82
BRD-2025M11-000156,POL-3723209,2025-07-13,2025-07-24,Closed,WS,London,11094.61,0.00,11094.61
BRD-2025M11-000157,POL-2190619,2025-03-18,2025-03-23,Closed,TPPD,London,556.23,0.00,556.23
BRD-2025M11-000158,POL-8129107,2025-10-05,2025-10-30,Closed,TPPD,Midlands,3079.00,0.00,3079.00
BRD-2025M11-000159,POL-4213285,2025-11-01,2025-11-11,Open,TH,North,602.99,708.29,1311.28
BRD-2025M11-000160,POL-9229930,2025-11-30,2025-11-30,Open,TH,London,184.70,278.11,462.81
BRD-2025M11-000162,POL-7461399,2025-07-13,2025-07-29,Closed,TPPD,Midlands,2817.42,0.00,2817.42
BRD-2025M11-000163,POL-4577432,2025-07-12,2025-07-13,Closed,TH,London,839.76,0.00,839.76
BRD-2025M11-000164,POL-6224590,2025-10-23,2025-10-26,Closed,AD,Scotland,1018.18,0.00,1018.18
BRD-2025M11-000165,POL-4108420,2025-09-22,2025-09-27,Closed,FI,South,2768.73,0.00,2768.73
BRD-2025M11-000166,POL-4221835,2025-08-30,2025-08-30,Open,AD,Midlands,1801.32,1274.08,3075.40
BRD-2025M11-000167,POL-2889954,2025-01-24,2025-02-01,Reopened,TH,South,397.31,842.76,1240.07
BRD-2025M11-000168,POL-3966811,2025-03-10,2025-03-12,Closed,AD,Midlands,547.69,0.00,547.69
BRD-2025M11-000169,POL-8088220,2024-12-30,2025-01-29,Closed,AD,Midlands,3185.06,0.00,3185.06
BRD-2025M11-000170,POL-8088764,2024-05-31,2024-06-02,Open,TPPD,North,280.50,2614.90,2895.40
BRD-2025M11-000171,POL-7656762,2025-07-18,2025-08-07,Closed,AD,Scotland,674.00,0.00,674.00
BRD-2025M11-000172,POL-1342160,2025-05-02,2025-05-02,Closed,TPBI,North,1914.98,0.00,1914.98
BRD-2025M11-000173,POL-1115353,2025-07-19,2025-07-21,Closed,WS,London,328.27,0.00,328.27
BRD-2025M11-000175,POL-9846509,2025-07-07,2025-07-07,Open,TPPD,South,1078.61,575.52,1654.13
BRD-2025M11-000176,POL-2944913,2025-05-13,2025-05-13,Closed,AD,South,1220.42,0.00,1220.42
BRD-2025M11-000177,POL-4659464,2025-04-21,2025-05-18,Open,TPPD,Midlands,429.34,1379.79,1809.13
BRD-2025M11-000178,POL-3243388,2025-10-27,2025-10-29,Closed,FI,Midlands,1100.78,0.00,1100.78
BRD-2025M11-000179,POL-5905198,2025-09-18,2025-10-07,Closed,TPBI,London,6056.41,0.00,6056.41
BRD-2025M11-000180,POL-5281805,2025-11-21,2025-11-30,Closed,AD,Midlands,3157.21,0.00,3157.21
BRD-2025M11-000181,POL-5700161,2025-10-01,2025-11-07,Open,TH,Midlands,619.76,582.33,1202.09
BRD-2025M11-000182,POL-4433000,2025-09-03,2025-09-26,Open,TPPD,North,381.34,334.86,716.20
BRD-2025M11-000183,POL-3617286,2025-07-23,2025-08-03,Closed,TPPD,Midlands,556.71,0.00,556.71
BRD-2025M11-000184,POL-5861041,2025-01-27,2025-01-29,Closed,WS,Midlands,1432.10,0.00,1432.10
BRD-2025M11-000185,POL-5404289,2025-01-30,2025-03-07,Closed,TPBI,South,1676.03,0.00,1676.03
BRD-2025M11-000186,POL-1499654,2025-01-02,2025-01-06,ClosedWithoutPayment,TPPD,Midlands,0.00,0.00,0.00
BRD-2025M11-000187,POL-8910848,2025-03-28,2025-03-28,Closed,TPPD,Midlands,4572.81,0.00,4572.81
BRD-2025M11-000188,POL-5725562,2024-06-07,2024-06-26,Closed,AD,London,917.24,0.00,917.24
BRD-2025M11-000189,POL-8067311,2025-01-22,2025-01-22,Open,WS,London,1621.24,1029.50,2650.74
BRD-2025M11-000190,POL-3727894,2025-09-09,2025-09-12,Open,TPPD,South,39.29,111.70,150.99
BRD-2025M11-000191,POL-4545580,2025-09-21,2025-10-05,Open,AD,North,594.58,2428.05,3022.63
BRD-2025M11-000192,POL-6614334,2025-07-25,2025-08-03,Open,TPPD,Scotland,2032.45,1262.13,3294.58
BRD-2025M11-000193,POL-5330723,2024-04-15,2024-05-01,Closed,AD,Midlands,9760.54,0.00,9760.54
BRD-2025M11-000194,POL-2301823,2025-07-24,2025-07-30,Open,TH,Midlands,223.44,2102.14,2325.58
BRD-2025M11-000195,POL-7816418,2025-11-03,2025-11-03,Reopened,TPPD,Midlands,1184.07,2329.07,3513.14
BRD-2025M11-000196,POL-3377750,2025-11-11,2025-11-14,Closed,TPPD,North,8281.58,0.00,8281.58
BRD-2025M11-000197,POL-3544719,2025-03-06,2025-03-07,Closed,TPBI,North,6751.74,0.00,6751.74
BRD-2025M11-000198,POL-6153770,2025-10-01,2025-10-07,Closed,TPPD,North,757.18,0.00,757.18
BRD-2025M11-000199,POL-5622469,2025-07-23,2025-08-29,Closed,WS,South,2221.46,0.00,2221.46
BRD-2025M11-000200,POL-2718343,2025-11-12,2025-11-12,Closed,AD,North,1111.08,0.00,1111.08
BRD-2025M11-000201,POL-7067637,2025-06-03,2025-06-19,Reopened,TPPD,South,462.72,2214.81,2677.53
BRD-2025M11-000202,POL-2520685,2025-03-29,2025-03-29,Closed,AD,London,2117.49,0.00,2117.49
BRD-2025M11-000203,POL-7957706,2025-08-13,2025-08-14,Closed,TH,Midlands,497.60,0.00,497.60
BRD-2025M11-000204,POL-9686220,2025-11-05,2025-11-10,Closed,WS,South,1394.92,0.00,1394.92
BRD-2025M11-000205,POL-1957792,2025-03-08,2025-04-18,Closed,AD,Midlands,1471.95,0.00,1471.95
BRD-2025M11-000206,POL-9406120,2024-09-06,2024-09-11,Closed,AD,South,3605.71,0.00,3605.71
BRD-2025M11-000207,POL-8889340,2025-11-20,2025-11-30,Closed,AD,Scotland,11837.97,0.00,11837.97
BRD-2025M11-000208,POL-6064732,2025-04-19,2025-05-15,Closed,AD,Scotland,2847.61,0.00,2847.61
BRD-2025M11-000209,POL-2520806,2024-12-13,2024-12-16,Open,TPBI,North,661.39,1145.59,1806.98
BRD-2025M11-000210,POL-4738022,2025-08-02,2025-08-20,Open,AD,London,726.05,428.93,1154.98
BRD-2025M11-000211,POL-1283023,2025-02-15,2025-02-18,Closed,TPBI,Midlands,2379.28,0.00,2379.28
BRD-2025M11-000212,POL-4970367,2025-04-21,2025-05-05,Closed,TPPD,London,3995.76,0.00,3995.76
BRD-2025M11-000213,POL-1405486,2025-06-06,2025-06-13,Closed,WS,Scotland,1451.54,0.00,1451.54
BRD-2025M11-000214,POL-3499231,2025-05-04,2025-05-18,Closed,AD,North,759.38,0.00,759.38
BRD-2025M11-000215,POL-7887711,2024-05-16,2024-05-17,Closed,AD,London,611.19,0.00,611.19
BRD-2025M11-000216,POL-8557100,2025-09-15,2025-10-07,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M11-000217,POL-8085465,2025-05-23,2025-05-31,ClosedWithoutPayment,TPBI,London,0.00,0.00,0.00
BRD-2025M11-000218,POL-6053920,2025-07-10,2025-07-20,Closed,TPPD,South,7240.82,0.00,7240.82
BRD-2025M11-000219,POL-6245601,2025-01-11,2025-01-13,Open,AD,Midlands,33.99,169.64,203.63
BRD-2025M11-000220,POL-7725810,2025-08-26,2025-10-13,Closed,AD,North,1527.94,0.00,1527.94
BRD-2025M11-000221,POL-6404250,2025-07-26,2025-08-10,Reopened,TPPD,South,2272.64,4390.67,6663.31
BRD-2025M11-000222,POL-5451974,2024-03-31,2024-05-05,Closed,WS,South,205150.19,0.00,205150.19
BRD-2025M11-000223,POL-8926875,2025-07-02,2025-07-09,Closed,AD,London,4239.67,0.00,4239.67
BRD-2025M11-000224,POL-4713814,2024-11-16,2024-11-22,Open,AD,Midlands,4761.49,4477.93,9239.42
BRD-2025M11-000225,POL-9041442,2024-04-21,2024-04-29,Closed,TPPD,Midlands,10134.04,0.00,10134.04
BRD-2025M11-000226,POL-1359092,2025-10-17,2025-10-30,Closed,WS,Midlands,849.59,0.00,849.59
BRD-2025M11-000227,POL-9304650,2025-06-10,2025-06-13,Closed,FI,North,94.82,0.00,94.82
BRD-2025M11-000228,POL-8431254,2025-05-07,2025-05-10,Open,TPPD,South,1371.80,1181.74,2553.54
BRD-2025M11-000229,POL-4605338,2025-11-03,2025-11-09,Open,TPPD,London,127.12,2001.70,2128.82
BRD-2025M11-000230,POL-1913126,2024-12-23,2024-12-27,Closed,WS,Scotland,1266.87,0.00,1266.87
BRD-2025M11-000231,POL-5328785,2025-05-30,2025-05-31,Open,AD,South,223.74,533.84,757.58
BRD-2025M11-000232,POL-4996410,2025-10-18,2025-10-30,Open,TPPD,Scotland,117.08,925.51,1042.59
BRD-2025M11-000233,POL-5132372,2024-08-22,2024-08-26,ClosedWithoutPayment,WS,Scotland,0.00,0.00,0.00
BRD-2025M11-000234,POL-2679105,2025-10-25,,Reopened,FI,London,2149.04,1581.74,3730.78
BRD-2025M11-000235,POL-2373663,2025-06-02,2025-07-12,Closed,AD,South,5570.64,0.00,5570.64
BRD-2025M11-000236,POL-3642597,2025-11-09,2025-11-17,Closed,TPPD,Midlands,1299.84,0.00,1299.84
BRD-2025M11-000237,POL-6738454,2025-02-26,2025-03-05,Closed,WS,North,359.87,0.00,359.87
BRD-2025M11-000238,POL-4379274,2025-08-02,2025-08-09,Open,AD,North,218.01,617.56,835.57
BRD-2025M11-000239,POL-4258865,2025-10-03,2025-10-07,Closed,AD,North,6837.24,0.00,6837.24
BRD-2025M11-000240,POL-4547676,2025-10-16,2025-10-26,Closed,TPPD,London,1143.33,0.00,1143.33
BRD-2025M11-000241,POL-5825868,2025-06-25,2025-07-01,Closed,AD,London,432.26,0.00,432.26
BRD-2025M11-000242,POL-8762754,2025-05-16,2025-05-21,Closed,AD,South,2230.37,0.00,2230.37
BRD-2025M11-000243,POL-8727474,2025-10-28,2025-11-15,ClosedWithoutPayment,FI,South,0.00,0.00,0.00
BRD-2025M11-000244,POL-3972579,2025-03-09,2025-03-21,Closed,WS,South,1550.98,0.00,1550.98
