claim_ref,policy_no,loss_date,report_date,status,peril_code,region,paid_gbp,outstanding_gbp,incurred_gbp
BRD-2025M12-000036,POL-4864589,2025-12-07,2025-12-12,Open,TPPD,Scotland,215.29,1528.92,1744.21
BRD-2025M12-000037,POL-5761207,2025-12-02,2025-12-15,ClosedWithoutPayment,AD,Midlands,0.00,0.00,0.00
BRD-2025M12-000038,POL-9013290,2025-07-24,2025-07-27,Open,FI,London,759.51,989.14,1748.65
BRD-2025M12-000039,POL-4101622,2024-02-19,2024-02-22,Closed,TPPD,North,418.30,0.00,418.30
BRD-2025M12-000040,POL-2774320,2025-01-01,2025-01-04,Open,TPPD,Scotland,1401.44,1114.21,2515.65
BRD-2025M12-000041,POL-5000093,2025-01-30,2025-02-14,Closed,TH,Midlands,3938.96,0.00,3938.96
BRD-2025M12-000042,POL-1267993,2025-06-18,2025-06-24,Closed,AD,North,587.16,0.00,587.16
BRD-2025M12-000043,POL-4654785,2025-03-03,2025-03-13,Closed,TPPD,Scotland,996.33,0.00,996.33
BRD-2025M12-000044,POL-2699745,2025-06-18,2025-07-06,Open,TPPD,Midlands,135.09,2072.53,2207.62
BRD-2025M12-000045,POL-1389424,2025-09-13,2025-09-28,Closed,TPBI,South,322.11,0.00,322.11
BRD-2025M12-000046,POL-1510302,2025-09-25,2025-09-27,Open,TH,London,220.68,445.47,666.15
BRD-2025M12-000047,POL-1485426,2025-01-13,2025-01-20,Closed,AD,London,5694.40,0.00,5694.40
BRD-2025M12-000048,POL-2165916,2024-12-02,2024-12-07,Closed,WS,North,7739.30,0.00,7739.30
BRD-2025M12-000049,POL-5892435,2025-05-16,2025-05-20,Closed,AD,London,592.29,0.00,592.29
BRD-2025M12-000050,POL-4758457,2024-09-12,2024-09-20,Closed,WS,Midlands,2522.02,0.00,2522.02
BRD-2025M12-000051,POL-5978044,2025-12-25,2025-12-31,Closed,TPPD,London,3979.26,0.00,3979.26
BRD-2025M12-000052,POL-5729850,2024-09-21,2024-09-22,Open,AD,London,2968.42,4543.79,7512.21
BRD-2025M12-000053,POL-4950095,2025-12-16,2025-12-18,Closed,TH,London,1471.96,0.00,1471.96
BRD-2025M12-000054,POL-9183255,2025-03-06,2025-03-09,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-000055,POL-9211634,2025-06-19,2025-06-25,Closed,FI,Midlands,6116.76,0.00,6116.76
BRD-2025M12-000056,POL-8725058,2025-04-30,2025-05-02,Open,AD,South,240.81,2804.32,3045.13
BRD-2025M12-000057,POL-6097650,2025-10-17,2025-10-17,Closed,WS,North,3998.56,0.00,3998.56
BRD-2025M12-000058,POL-9801049,2025-11-25,2025-12-31,Open,TH,Scotland,860.11,545.59,1405.70
BRD-2025M12-000059,POL-2625683,2025-10-22,2025-11-05,Closed,TPPD,Midlands,418.89,0.00,418.89
BRD-2025M12-000060,POL-4725377,2025-03-17,2025-04-01,Open,TPPD,London,1778.45,3328.78,5107.23
BRD-2025M12-000061,POL-5026803,2025-12-28,2025-12-31,Closed,AD,North,1650.79,0.00,1650.79
BRD-2025M12-000062,POL-4183106,2025-08-07,2025-08-19,Reopened,AD,London,110.33,1147.03,1257.36
BRD-2025M12-000063,POL-3312633,2025-12-28,2025-12-31,Open,TPBI,Midlands,606.91,3343.44,3950.35
BRD-2025M12-000064,POL-2927078,2025-09-01,2025-09-02,Closed,TPPD,London,2073.90,0.00,2073.90
BRD-2025M12-000065,POL-5907631,2025-06-09,2025-06-13,Closed,TPPD,North,588.76,0.00,588.76
BRD-2025M12-000066,POL-3877845,2024-11-16,2024-11-20,Closed,AD,South,4283.43,0.00,4283.43
BRD-2025M12-000067,POL-2545046,2025-09-08,2025-09-11,Closed,WS,Midlands,2039.66,0.00,2039.66
BRD-2025M12-000068,POL-2666956,2025-03-02,2025-03-11,Closed,TH,London,961.37,0.00,961.37
BRD-2025M12-000069,POL-9392158,2025-11-28,2025-12-01,Open,WS,Scotland,229.16,1590.59,1819.75
BRD-2025M12-000070,POL-9392909,2025-10-11,2025-11-04,ClosedWithoutPayment,AD,Scotland,0.00,0.00,0.00
BRD-2025M12-000071,POL-5420889,2024-09-08,2024-09-12,Closed,AD,North,428.85,0.00,428.85
BRD-2025M12-000072,POL-2634538,2025-10-10,2025-10-15,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M12-000073,POL-2832144,2025-01-08,2025-01-20,Closed,FI,South,883.17,0.00,883.17
BRD-2025M12-000074,POL-8306856,2025-05-12,2025-06-12,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-000075,POL-1734862,2025-12-10,2025-12-11,Open,TPPD,Midlands,855.95,2867.44,3723.39
BRD-2025M12-000076,POL-4722621,2025-11-11,2025-11-12,Closed,AD,South,2315.80,0.00,2315.80
BRD-2025M12-000077,POL-6612791,2025-12-14,2025-12-16,Closed,TH,South,1948.80,0.00,1948.80
BRD-2025M12-000078,POL-3506072,2025-09-04,2025-10-29,Open,TPPD,Midlands,52.80,497.10,549.90
BRD-2025M12-000079,POL-2924762,2025-01-07,2025-01-10,Closed,TH,Midlands,3912.22,0.00,3912.22
BRD-2025M12-000080,POL-4429160,2025-07-26,2025-08-05,Reopened,TPPD,North,5029.74,3661.44,8691.18
BRD-2025M12-000081,POL-4479331,2025-06-04,2025-06-17,Open,TPPD,South,3843.24,2333.82,6177.06
BRD-2025M12-000082,POL-9954862,2025-09-22,2025-10-15,Open,WS,London,15.53,100.12,115.65
BRD-2025M12-000083,POL-8178980,2024-10-11,2024-10-13,Closed,AD,Midlands,1994.22,0.00,1994.22
BRD-2025M12-000084,POL-4040964,2025-08-25,2025-09-07,Reopened,WS,London,603.56,736.21,1339.77
BRD-2025M12-000085,POL-1685830,2025-11-18,2025-11-19,Open,TH,London,260.67,586.71,847.38
BRD-2025M12-000086,POL-3136194,2025-10-21,2025-10-22,Open,WS,South,280.33,405.61,685.94
BRD-2025M12-000087,POL-1574708,2025-11-21,2025-11-28,Closed,TH,South,2162.32,0.00,2162.32
BRD-2025M12-000088,POL-4812339,2025-11-29,2025-12-31,Closed,AD,Scotland,395.42,0.00,395.42
BRD-2025M12-000089,POL-5416740,2024-12-14,2024-12-25,Closed,TPPD,Midlands,727.38,0.00,727.38
BRD-2025M12-000090,POL-4773844,2025-07-26,2025-08-08,Open,TPPD,South,2056.01,2871.20,4927.21
BRD-2025M12-000091,POL-9350680,2025-12-09,2025-12-14,Closed,AD,Scotland,1329.61,0.00,1329.61
BRD-2025M12-000092,POL-1959757,2024-10-10,2024-10-10,Closed,TPBI,Scotland,5357.99,0.00,5357.99
BRD-2025M12-000093,POL-4596634,2025-11-30,2025-12-02,Open,AD,Midlands,232.03,874.84,1106.87
BRD-2025M12-000094,POL-2129166,2025-08-01,2025-08-02,Closed,AD,South,853.44,0.00,853.44
BRD-2025M12-000095,POL-5249484,2025-10-10,2025-10-12,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M12-000096,POL-3012338,2025-08-12,2025-08-27,Closed,AD,London,2511.50,0.00,2511.50
BRD-2025M12-000097,POL-9053205,2025-06-09,2025-06-10,Open,TPPD,North,341.83,615.70,957.53
BRD-2025M12-000098,POL-2787836,2025-06-30,2025-07-22,Closed,WS,Midlands,997.85,0.00,997.85
BRD-2025M12-000099,POL-2221854,2025-10-01,2025-10-04,Closed,WS,Scotland,9525.88,0.00,9525.88
BRD-2025M12-000100,POL-7963908,2025-05-04,2025-05-20,Closed,TH,London,2480.98,0.00,2480.98
BRD-2025M12-000101,POL-1145453,2025-07-06,2025-08-15,Open,TPPD,Scotland,34.89,274.31,309.20
BRD-2025M12-000102,POL-3542579,2025-08-02,2025-08-14,Open,AD,Midlands,4770.99,3004.22,7775.21
BRD-2025M12-000103,POL-4177086,2025-09-26,2025-09-27,ClosedWithoutPayment,TPBI,South,0.00,0.00,0.00
BRD-2025M12-000104,POL-1289243,2024-10-14,2024-10-27,Reopened,TPPD,South,322.69,3108.23,3430.92
BRD-2025M12-000105,POL-6136740,2024-11-13,2024-12-22,Open,WS,North,1035.27,1218.43,2253.70
BRD-2025M12-000106,POL-1572701,2024-11-09,2024-11-18,Closed,WS,South,428.69,0.00,428.69
BRD-2025M12-000107,POL-4330319,2024-05-11,2024-07-18,Open,TH,South,3.04,83.10,86.14
BRD-2025M12-000108,POL-1231406,2025-06-23,2025-06-28,Closed,AD,Scotland,225.95,0.00,225.95
BRD-2025M12-000109,POL-5599048,2025-04-06,2025-05-29,Closed,AD,South,2433.17,0.00,2433.17
BRD-2025M12-000110,POL-6090035,2025-02-04,2025-02-04,Closed,AD,Midlands,1923.44,0.00,1923.44
BRD-2025M12-000111,POL-1797790,2025-02-13,2025-02-20,Closed,AD,South,891.78,0.00,891.78
BRD-2025M12-000112,POL-3194049,2025-07-05,2025-07-08,ClosedWithoutPayment,TH,London,0.00,0.00,0.00
BRD-2025M12-000113,POL-6794082,2025-07-22,2025-08-14,Open,AD,Midlands,44.28,166.60,210.88
BRD-2025M12-000114,POL-8196382,2025-09-25,2025-10-14,Reopened,TH,Scotland,1053.17,578.27,1631.44
BRD-2025M12-000115,POL-2862059,2024-12-14,2025-01-15,Open,AD,South,11079.53,5734.68,16814.21
BRD-2025M12-000116,POL-9527303,2025-09-01,2025-09-30,Open,TPPD,Midlands,533.36,1040.04,1573.40
BRD-2025M12-000117,POL-6041829,2025-08-11,2025-08-15,Closed,AD,South,1576.05,0.00,1576.05
BRD-2025M12-000118,POL-7130605,2025-11-28,2025-11-29,Closed,TPPD,London,1899.65,0.00,1899.65
BRD-2025M12-000119,POL-6626204,2025-03-20,2025-03-23,Closed,TPPD,Scotland,5490.91,0.00,5490.91
BRD-2025M12-000120,POL-8835051,2025-10-21,2025-10-21,Closed,TPPD,South,824.90,0.00,824.90
BRD-2025M12-000121,POL-9655728,2025-03-18,2025-03-19,Closed,TPPD,South,1371.64,0.00,1371.64
BRD-2025M12-000122,POL-2975844,2025-09-25,2025-10-04,Closed,AD,Scotland,632.39,0.00,632.39
BRD-2025M12-000123,POL-2360058,2025-08-07,2025-08-30,Closed,TPPD,South,1385.15,0.00,1385.15
BRD-2025M12-000124,POL-7777461,2025-06-30,2025-08-10,Closed,TPPD,Scotland,291.45,0.00,291.45
BRD-2025M12-000125,POL-7112177,2024-11-06,2024-11-06,Open,AD,London,183.59,205.60,389.19
BRD-2025M12-000126,POL-9395862,2025-08-08,2025-08-11,ClosedWithoutPayment,TPBI,North,0.00,0.00,0.00
BRD-2025M12-000127,POL-6234236,2024-11-11,2024-11-28,Closed,FI,North,2804.27,0.00,2804.27
BRD-2025M12-000128,POL-3922658,2024-08-06,2024-08-15,Open,AD,North,1473.40,1415.77,2889.17
BRD-2025M12-000129,POL-7278507,2025-06-09,2025-06-13,Closed,FI,Midlands,800.59,0.00,800.59
BRD-2025M12-000130,POL-3635415,2025-07-31,2025-08-22,Closed,AD,North,1888.97,0.00,1888.97
BRD-2025M12-000131,POL-1383652,2025-07-03,2025-07-15,Closed,WS,Midlands,2334.05,0.00,2334.05
BRD-2025M12-000132,POL-4833697,2025-04-27,2025-05-08,Open,TPPD,London,1275.43,3274.44,4549.87
BRD-2025M12-000133,POL-7476856,2025-07-13,2025-07-18,Open,WS,Scotland,526.25,2187.55,2713.80
BRD-2025M12-000134,POL-2721368,2025-11-18,2025-11-26,Closed,FI,North,2013.03,0.00,2013.03
BRD-2025M12-000135,POL-5041358,2025-07-08,2025-07-12,Open,TH,Scotland,382.64,304.46,687.10
BRD-2025M12-000136,POL-4378642,2025-07-02,2025-07-08,Closed,WS,Midlands,2420.72,0.00,2420.72
BRD-2025M12-000137,POL-7817157,2025-07-22,2025-08-09,Open,TH,London,5.86,71.97,77.83
BRD-2025M12-000138,POL-5212578,2025-04-28,2025-05-11,Closed,TPPD,North,1024.42,0.00,1024.42
BRD-2025M12-000139,POL-3184333,2024-12-03,2024-12-03,Open,TPPD,South,1452.61,691.44,2144.05
BRD-2025M12-000140,POL-9775023,2025-07-04,2025-07-29,ClosedWithoutPayment,TPPD,Midlands,0.00,0.00,0.00
BRD-2025M12-000141,POL-8434038,2025-09-04,2025-09-07,Closed,WS,London,8822.93,0.00,8822.93
BRD-2025M12-000142,POL-9440184,2025-12-24,2025-12-31,Closed,TH,Scotland,182.04,0.00,182.04
BRD-2025M12-000143,POL-5943610,2025-07-15,2025-07-23,Closed,TPBI,London,565.56,0.00,565.56
BRD-2025M12-000144,POL-6477060,2025-03-09,2025-03-16,Closed,TPBI,London,6693.31,0.00,6693.31
BRD-2025M12-000145,POL-6382156,2025-02-12,2025-02-13,Open,AD,South,470.43,235.39,705.82
BRD-2025M12-000146,POL-2189612,2025-09-08,2025-09-10,Closed,TPBI,South,1810.35,0.00,1810.35
BRD-2025M12-000147,POL-6202601,2025-05-28,2025-06-10,ClosedWithoutPayment,AD,North,0.00,0.00,0.00
BRD-2025M12-000148,POL-4286429,2025-10-17,2025-11-25,Open,TH,North,182.20,446.59,628.79
BRD-2025M12-000149,POL-3000797,2025-10-25,2025-10-25,Open,TPBI,London,2321.93,1335.27,3657.20
BRD-2025M12-000150,POL-6722332,2025-08-17,2025-08-27,Closed,AD,North,3105.59,0.00,3105.59
BRD-2025M12-000151,POL-7092636,2025-10-31,2025-11-03,Closed,WS,Midlands,1878.13,0.00,1878.13
BRD-2025M12-000152,POL-9312048,2025-07-15,2025-07-22,Open,TPBI,London,457.44,631.80,1089.24
BRD-2025M12-000153,POL-7825976,2025-10-23,2025-11-24,Closed,TPPD,London,505.54,0.00,505.54
BRD-2025M12-000154,POL-6720300,2025-10-19,2025-11-04,Open,TH,Midlands,31.74,805.41,837.15
BRD-2025M12-000155,POL-6582008,2025-05-14,2025-06-01,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M12-000156,POL-4558152,2024-08-05,2024-08-16,Open,AD,London,185.32,709.06,894.38
BRD-2025M12-000157,POL-3198086,2025-07-18,2025-07-20,Open,AD,North,156.53,7200.94,7357.47
BRD-2025M12-000158,POL-9432314,2025-06-02,2025-06-02,Reopened,AD,London,551.87,5294.11,5845.98
BRD-2025M12-000159,POL-8682941,2025-11-22,2025-12-09,Closed,AD,London,1073.96,0.00,1073.96
BRD-2025M12-000160,POL-8345998,2025-11-29,2025-12-09,Open,AD,Scotland,1006.64,7625.94,8632.58
BRD-2025M12-000161,POL-1739583,2024-11-07,2024-11-23,Closed,TPPD,North,625.53,0.00,625.53
BRD-2025M12-000162,POL-5516478,2025-09-21,2025-10-12,Closed,TPBI,Midlands,955.48,0.00,955.48
BRD-2025M12-000163,POL-4776259,2025-11-19,2025-12-06,Open,TH,Scotland,430.30,691.58,1121.88
BRD-2025M12-000164,POL-5962157,2025-02-08,2025-02-15,Open,AD,London,396.49,889.87,1286.36
BRD-2025M12-000165,POL-2671428,2024-07-20,2024-07-27,Closed,AD,London,2982.52,0.00,2982.52
BRD-2025M12-000166,POL-7874830,2025-12-08,2025-12-11,Closed,TH,North,1299.51,0.00,1299.51
BRD-2025M12-000167,POL-7705281,2025-01-19,2025-01-26,Closed,TPPD,South,467.43,0.00,467.43
BRD-2025M12-000168,POL-4283518,2025-06-15,2025-06-19,Open,TPPD,South,1985.80,1868.83,3854.63
BRD-2025M12-000169,POL-6934821,2025-06-15,2025-07-12,Closed,TPPD,Midlands,1361.04,0.00,1361.04
BRD-2025M12-000170,POL-8768437,2024-12-26,2024-12-28,Open,WS,North,132.80,2093.18,2225.98
BRD-2025M12-000171,POL-3490188,2025-08-31,2025-09-14,Open,TPPD,Midlands,525.06,4937.14,5462.20
BRD-2025M12-000172,POL-4933625,2024-09-23,2024-09-24,Closed,TPBI,South,3057.66,0.00,3057.66
BRD-2025M12-000173,POL-7078786,2025-12-14,2025-12-31,Closed,TPPD,Midlands,583.06,0.00,583.06
BRD-2025M12-000174,POL-6185091,2025-05-21,2025-05-22,Closed,TPPD,London,3866.59,0.00,3866.59
BRD-2025M12-000175,POL-9614796,2025-05-25,2025-05-28,ClosedWithoutPayment,AD,Midlands,0.00,0.00,0.00
BRD-2025M12-000176,POL-7396532,2025-11-04,2025-11-11,Reopened,TH,South,1018.06,4248.58,5266.64
BRD-2025M12-000177,POL-8074988,2024-05-12,2024-06-03,ClosedWithoutPayment,TPPD,South,0.00,0.00,0.00
BRD-2025M12-000178,POL-5663020,2024-12-01,2024-12-05,Closed,TPPD,London,3239.88,0.00,3239.88
BRD-2025M12-000179,POL-7664650,2025-07-13,2025-07-15,Closed,WS,Midlands,10439.63,0.00,10439.63
BRD-2025M12-000180,POL-4077412,2025-06-04,2025-06-07,Open,TPPD,Scotland,172.43,474.76,647.19
BRD-2025M12-000181,POL-8203904,2025-02-10,2025-02-11,Closed,AD,London,12950.17,0.00,12950.17
BRD-2025M12-000182,POL-2072311,2025-12-08,2025-12-09,Open,WS,Midlands,248.71,968.03,1216.74
BRD-2025M12-000183,POL-6774328,2025-04-22,2025-04-23,Open,TPPD,North,212.19,415.45,627.64
BRD-2025M12-000184,POL-5664440,2024-09-23,2024-10-12,Closed,TH,North,1177.23,0.00,1177.23
BRD-2025M12-000185,POL-5674642,2025-01-05,2025-01-21,Closed,AD,North,2519.15,0.00,2519.15
BRD-2025M12-000186,POL-9467051,2025-09-04,2025-09-06,Open,TPPD,London,32.42,43.44,75.86
BRD-2025M12-000187,POL-1371457,2025-05-25,2025-06-15,Closed,TPPD,London,2301.64,0.00,2301.64
BRD-2025M12-000188,POL-4774845,2025-05-12,2025-05-14,Closed,AD,South,16075.57,0.00,16075.57
BRD-2025M12-000189,POL-8891306,2024-09-21,2024-10-18,Open,AD,North,1242.11,1845.65,3087.76
BRD-2025M12-000190,POL-6086564,2025-08-08,2025-08-16,Open,WS,South,16.77,553.44,570.21
BRD-2025M12-000191,POL-8049414,2025-08-04,2025-08-09,Closed,AD,Midlands,1348.42,0.00,1348.42
BRD-2025M12-000192,POL-3786779,2025-03-01,2025-03-03,Open,AD,North,546.18,524.76,1070.94
BRD-2025M12-000193,POL-2744596,2025-01-15,2025-01-15,Open,FI,North,105.98,117.10,223.08
BRD-2025M12-000194,POL-1511591,2025-03-27,2025-04-13,ClosedWithoutPayment,WS,London,0.00,0.00,0.00
BRD-2025M12-000195,POL-1888510,2024-09-05,2024-09-15,Open,WS,North,572.44,753.86,1326.30
BRD-2025M12-000196,POL-4621505,2025-06-02,2025-06-08,Reopened,AD,North,537.03,2241.84,2778.87
BRD-2025M12-000197,POL-7413986,2025-07-15,2025-07-24,Closed,TH,London,1898.89,0.00,1898.89
BRD-2025M12-000198,POL-1850858,2025-11-16,2025-11-21,Closed,FI,Scotland,2597.23,0.00,2597.23
BRD-2025M12-000199,POL-6299041,2025-07-31,2025-08-04,Open,AD,Scotland,-1801.30,0.00,-1801.30
BRD-2025M12-000200,POL-4905533,2025-08-19,2025-08-26,Closed,TPPD,South,1930.87,0.00,1930.87
BRD-2025M12-000201,POL-6980036,2025-12-25,2025-12-31,Closed,WS,Midlands,1119.71,0.00,1119.71
BRD-2025M12-000202,POL-9136500,2025-08-08,2025-08-12,Closed,AD,London,559.23,0.00,559.23
BRD-2025M12-000203,POL-1808578,2025-06-21,2025-06-22,Open,FI,North,179.61,367.72,547.33
BRD-2025M12-000204,POL-5141785,2025-09-26,2025-10-01,Closed,WS,Midlands,4099.19,0.00,4099.19
BRD-2025M12-000205,POL-9299628,2025-11-06,2025-11-11,Closed,TPPD,London,423.34,0.00,423.34
BRD-2025M12-000206,POL-8291738,2025-10-08,2025-11-19,Closed,TPPD,North,269.55,0.00,269.55
BRD-2025M12-000207,POL-7634772,2025-08-29,2025-08-30,Open,AD,South,1291.99,1151.59,2443.58
BRD-2025M12-000208,POL-4489840,2025-03-19,2025-04-07,Closed,TPPD,Scotland,4007.92,0.00,4007.92
BRD-2025M12-000209,POL-2005911,2025-10-17,2025-10-18,Open,TPPD,Scotland,392.94,171.36,564.30
BRD-2025M12-000210,POL-9979762,2025-09-07,2025-09-08,Open,TPPD,Midlands,1653.84,3266.51,4920.35
BRD-2025M12-000211,POL-5856075,2025-10-06,2025-10-25,Closed,TPPD,Scotland,731.91,0.00,731.91
BRD-2025M12-000212,POL-4372388,2025-09-08,2025-09-08,Closed,TPBI,London,1657.74,0.00,1657.74
BRD-2025M12-000213,POL-2707258,2025-08-25,2025-08-31,Closed,WS,London,22625.39,0.00,22625.39
BRD-2025M12-000214,POL-8059278,2025-06-22,2025-06-26,Closed,WS,Scotland,6247.26,0.00,6247.26
BRD-2025M12-000215,POL-3912348,2025-03-18,2025-04-07,ClosedWithoutPayment,TH,South,0.00,0.00,0.00
BRD-2025M12-000216,POL-6383970,2025-04-16,2025-04-26,Closed,TPBI,North,2263.26,0.00,2263.26
BRD-2025M12-000217,POL-5078384,2025-09-26,2025-10-05,Reopened,WS,Scotland,164.37,254.00,418.37
BRD-2025M12-000218,POL-5525689,2025-11-01,2025-11-29,Open,TPBI,South,1493.94,1470.10,2964.04
BRD-2025M12-000219,POL-3687183,2025-10-19,2025-10-24,Closed,TPBI,South,2386.09,0.00,2386.09
BRD-2025M12-000220,POL-7180653,2025-01-10,2025-01-15,ClosedWithoutPayment,AD,South,0.00,0.00,0.00
BRD-2025M12-000221,POL-3801609,2025-12-24,2025-12-31,Closed,AD,Midlands,9961.00,0.00,9961.00
BRD-2025M12-000222,POL-7943979,2024-05-27,2024-06-07,Closed,AD,South,738.91,0.00,738.91
BRD-2025M12-000223,POL-1677745,2025-09-29,2025-10-22,Closed,AD,London,5069.68,0.00,5069.68
BRD-2025M12-000224,POL-9002255,2025-05-05,2025-05-11,Closed,TPBI,Midlands,2652.40,0.00,2652.40
BRD-2025M12-000225,POL-7647394,2025-04-17,2025-05-18,Closed,WS,North,650.61,0.00,650.61
BRD-2025M12-000226,POL-6375816,2025-05-31,2025-06-04,Closed,FI,South,1827.57,0.00,1827.57
BRD-2025M12-000227,POL-9957846,2025-03-31,2025-04-05,Open,TPPD,South,6419.81,13366.73,19786.54
BRD-2025M12-000228,POL-6148145,2025-01-26,2025-02-22,Closed,AD,Scotland,2517.02,0.00,2517.02
BRD-2025M12-000229,POL-8711011,2025-06-01,2025-06-23,Closed,TPPD,London,3616.48,0.00,3616.48
BRD-2025M12-000230,POL-1191052,2025-08-17,2025-08-20,Closed,AD,North,2110.72,0.00,2110.72
BRD-2025M12-000231,POL-8146066,2025-10-07,2025-10-07,Closed,TPPD,South,570.35,0.00,570.35
BRD-2025M12-000232,POL-4002377,2025-12-14,2025-12-23,Closed,TPPD,Midlands,1041.25,0.00,1041.25
BRD-2025M12-000233,POL-1294724,2025-02-27,2025-03-23,Closed,AD,South,1794.11,0.00,1794.11
BRD-2025M12-000234,POL-3846650,2025-12-26,2025-12-30,Closed,TPPD,South,18077.57,0.00,18077.57
BRD-2025M12-000235,POL-7880421,2025-11-24,2025-11-28,ClosedWithoutPayment,AD,London,0.00,0.00,0.00
BRD-2025M12-000236,POL-7271349,2025-10-15,2025-10-18,Open,TH,North,447.42,1010.28,1457.70
BRD-2025M12-000237,POL-8933611,2025-06-14,2025-06-15,Closed,WS,North,254.92,0.00,254.92
BRD-2025M12-000238,POL-4550903,2025-04-22,2025-05-04,Closed,TPPD,North,1918.03,0.00,1918.03
BRD-2025M12-000239,POL-1873171,2025-10-19,2025-10-24,Closed,TPPD,North,2016.25,0.00,2016.25
BRD-2025M12-000240,POL-5028482,2025-04-15,2025-04-29,Closed,TPPD,North,836.98,0.00,836.98
BRD-2025M12-000241,POL-5063378,2025-03-13,2025-04-02,Closed,FI,South,-80.03,0.00,-80.03
BRD-2025M12-000242,POL-2281607,2024-08-26,2024-09-01,Closed,AD,South,1282.69,0.00,1282.69
