ClaimRef,PolicyNo,LossDate,ReportDate,Status,PerilCode,Region,Handler,PaidGBP,OutstandingGBP
BRD-2025M11-000018,POL-2290184,17/07/2024,20/07/2024,OPEN,AD,North,BBK,£16.14,£318.52
BRD-2025M11-000019,POL-2251077,06/02/2025,20/02/2025,C,TPPD,South,WPR,1055.09,
BRD-2025M11-000020,POL-1694419,2024-06-24,30/06/2024,OPEN,TPPD,South,DFN,£2927.34,2834.42
BRD-2025M11-000021,POL-4896285,01/04/2025,09/04/2025,RO,TPPD,North,PPS,£405.25,£516.45
BRD-2025M11-000022,POL-1875102,28/06/2025,01/07/2025,closed,TPPD,London,CWP,3055.33,-
BRD-2025M11-000023,POL-4146520,18/09/2025,22/09/2025,C,AD,North,ALM,3092.75,-
BRD-2025M11-000024,POL-5870585,28/09/2025,02/10/2025,C,WS,North,JBA,£214.60,0.00
BRD-2025M11-000025,POL-3176011,16/11/2025,16/11/2025,C,AD,South,JEF,£251.94,-
BRD-2025M11-000026,POL-2766059,25/02/2025,29/04/2025,C ,TPBI,North,LAM,£2319.15,
BRD-2025M11-000027,POL-3219717,29/12/2024,23/01/2025,C,TPBI,London,LAG,£7009.38,-
BRD-2025M11-000028,POL-9836556,2024-06-13,20/06/2024,closed,AD,London,ANJ,623.67,0.00
BRD-2025M11-000029,POL-8229254,2025-07-24,18/08/2025,C,TPPD,North,FPD,1891.84,-
BRD-2025M11-000030,POL-5892611,12/06/2024,28/06/2024,O,AD,London,PDD,311.71,£533.98
BRD-2025M11-000031,POL-5295397,25/11/2025,30/11/2025,CWP,TPPD,South,CNT,,
BRD-2025M11-000032,POL-5822164,28/07/2024,31/07/2024,RO,FI,Scotland,HKG,£922.54,£2083.35
BRD-2025M11-000033,POL-5270421,02/11/2025,05/11/2025,O,TPPD,Midlands,JCW,£3688.67,8272.11
BRD-2025M11-000034,POL-4312850,2025-06-19,07/08/2025,O,TPPD,Scotland,MBR,246.39,161.43
BRD-2025M11-000035,POL-1507377,14/02/2025,03/03/2025,O,AD,London,LSH,11959.07,10253.87
BRD-2025M11-000036,POL-9897340,2025-10-15,17/10/2025,OPEN,AD,Midlands,WCD,£1183.82,1935.66
BRD-2025M11-000037,POL-5772556,06/07/2025,12/07/2025,O,AD,North,PKH,£128.63,£2896.08
BRD-2025M11-000038,POL-8572031,09-Jul-25,10/07/2025,o,AD,London,WBG,614.64,1637.77
BRD-2025M11-000039,POL-5690093,19/06/2024,12/07/2024,O,TPPD,North,RJB,£244.16,£1471.93
BRD-2025M11-000040,POL-7885140,04/07/2025,18/07/2025,O,AD,Midlands,WHR,£875.90,1065.24
BRD-2025M11-000041,POL-2548289,27/03/2025,30/03/2025,closed,TH,London,MMC,2138.23,-
BRD-2025M11-000042,POL-9466690,26/07/2025,02/08/2025,o,AD,South,MHD,1212.97,6388.39
BRD-2025M11-000043,POL-4880901,11/06/2025,16/06/2025,CWP,TPPD,South,NDN,-,0.00
BRD-2025M11-000044,POL-7728800,16/11/2024,23/11/2024,closed,TPPD,South,CTJ,£2815.09,-
BRD-2025M11-000045,POL-1628506,2025-04-15,21/04/2025,C,WS,North,GMP,523.55,-
BRD-2025M11-000046,POL-8246953,24/10/2025,05/11/2025,o,AD,Scotland,ERM,£3594.43,£2865.57
BRD-2025M11-000047,POL-3333465,04/11/2024,04/11/2024,C,AD,Scotland,JFP,£241.65,-
BRD-2025M11-000047,POL-3333465,04/11/2024,04/11/2024,C,AD,Scotland,JFP,£241.65,-
BRD-2025M11-000048,POL-6772846,18/06/2025,19/06/2025,O,TH,North,MWN,£3133.81,4399.35
BRD-2025M11-000049,POL-6954617,13/09/2025,13/09/2025,C,WS,South,SLL,£1032.49,0.00
BRD-2025M11-000050,POL-7619976,21/07/2025,22/07/2025,C,AD,London,GNG,1195.95,
BRD-2025M11-000051,POL-5610957,30-Nov-25,30/11/2025,C,AD,North,AWF,2293.20,-
BRD-2025M11-000052,POL-1876838,19/08/2024,22/08/2024,C,TH,South,SED,£511.71,0.00
BRD-2025M11-000053,POL-8076989,2025-09-27,11/10/2025,RO,AD,London,AEG,897.85,£1988.48
BRD-2025M11-000054,POL-6428391,03/11/2025,05/11/2025,C,TPPD,Midlands,JFD,£434.98,-
BRD-2025M11-000055,POL-9465905,26/09/2025,27/09/2025,C ,AD,Midlands,HHH,£788.55,0.00
BRD-2025M11-000056,POL-5476360,29/05/2025,30/05/2025,C,TPBI,South,PEW,£642.66,0.00
BRD-2025M11-000057,POL-2184048,28-Oct-25,14/11/2025,CWP,WS,Midlands,EET,0.00,
BRD-2025M11-000058,POL-7661713,2024-09-18,26/09/2024,O,TPPD,Scotland,MMR,5785.00,£10881.76
BRD-2025M11-000059,POL-8745911,14/09/2025,28/09/2025,C ,TPPD,Midlands,MCA,£1209.14,
BRD-2025M11-000060,POL-2647455,14/07/2025,02/08/2025,C,FI,South,FBA,£962.50,-
BRD-2025M11-000061,POL-3944271,25/10/2025,03/11/2025,O,WS,South,JMR,327.62,£532.20
BRD-2025M11-000062,POL-8154673,13/07/2025,13/07/2025,C ,AD,Scotland,KDG,£3883.97,-
BRD-2025M11-000063,POL-6787934,08/08/2025,08/08/2025,C,WS,North,LGK,10589.44,
BRD-2025M11-000064,POL-4443005,02-Jan-25,04/02/2025,C,TPPD,Midlands,HGK,£1745.96,
BRD-2025M11-000065,POL-3088446,2024-12-30,30/12/2024,C,TH,North,JNK,£1129.52,0.00
BRD-2025M11-000066,POL-6008405,01/09/2025,27/09/2025,C ,TPPD,North,DSM,£9977.22,-
BRD-2025M11-000067,POL-3458620,2025-11-10,16/11/2025,OPEN,AD,London,CSN,£320.58,3275.55
BRD-2025M11-000068,POL-6802304,26/11/2025,30/11/2025,C,TPPD,North,LNA,£306.82,-
BRD-2025M11-000069,POL-8363525,2025-09-28,04/10/2025,OPEN,AD,South,BHD,1900.65,1987.27
BRD-2025M11-000070,POL-1477597,08/05/2025,08/05/2025,C,WS,South,LCH,402.34,-
BRD-2025M11-000071,POL-8020151,24-Nov-24,09/01/2025,C,TPPD,Scotland,BEC,1230.25,-
BRD-2025M11-000072,POL-3216868,04/12/2024,10/12/2024,C,TPBI,North,MGB,£3017.68,-
BRD-2025M11-000073,POL-3226222,07-Nov-25,24/11/2025,C,AD,South,ACH,£427.13,0.00
BRD-2025M11-000074,POL-6344870,2025-10-24,24/10/2025,RO,AD,Midlands,CSW,400.35,573.20
BRD-2025M11-000075,POL-3026777,31/08/2025,26/09/2025,C ,TH,South,PFJ,1126.36,
BRD-2025M11-000076,POL-6820835,03/11/2025,15/11/2025,C ,TPPD,North,NRH,£998.87,0.00
BRD-2025M11-000077,POL-9156992,15/01/2025,16/01/2025,C,TPBI,London,LHJ,2896.47,
BRD-2025M11-000078,POL-9748668,19/08/2025,28/08/2025,CWP,TPPD,London,EAN,-,
BRD-2025M11-000078,POL-9748668,19/08/2025,28/08/2025,CWP,TPPD,London,EAN,-,
BRD-2025M11-000079,POL-1279928,19/04/2025,23/06/2025,CWP,TPPD,North,HCW,-,-
BRD-2025M11-000080,POL-8484017,05/09/2025,08/09/2025,O,TH,London,EWG,672.52,£598.16
BRD-2025M11-000081,POL-9524055,17/05/2025,22/05/2025,C,TH,North,ANK,£596.23,
BRD-2025M11-000082,POL-6333997,05/07/2025,08/07/2025,O,TPPD,Midlands,GRB,1363.47,£1472.28
BRD-2025M11-000083,POL-9064383,26/08/2025,02/09/2025,O,TPPD,South,DMA,£307.79,£259.84
BRD-2025M11-000084,POL-9086165,08/11/2025,29/11/2025,closed,WS,North,GAB,1212.18,0.00
BRD-2025M11-000085,POL-7583723,2024-03-21,05/04/2024,C,TH,Midlands,SLW,557.39,
BRD-2025M11-000085,POL-7583723,2024-03-21,05/04/2024,C,TH,Midlands,SLW,557.39,
BRD-2025M11-000086,POL-3481566,31/05/2025,31/05/2025,C,TPPD,London,EPC,311.49,-
BRD-2025M11-000087,POL-6274013,18/07/2025,20/07/2025,RO,TPBI,South,PAL,£327.45,£810.90
BRD-2025M11-000088,POL-3780965,27/11/2024,30/11/2024,O,AD,North,EJR,£1390.78,1256.81
BRD-2025M11-000089,POL-7119041,13/09/2024,16/09/2024,C,WS,London,CEB,4096.40,-
BRD-2025M11-000090,POL-4346527,16/03/2025,30/03/2025,C,AD,London,LTC,237.22,-
BRD-2025M11-000091,POL-7871299,10/10/2025,14/10/2025,C,WS,London,MSG,£1644.08,0.00
BRD-2025M11-000092,POL-6228910,13/08/2024,22/08/2024,C,AD,London,TDP,132.32,
BRD-2025M11-000093,POL-6060316,03-Aug-25,08/08/2025,C,TPBI,South,PEK,£5168.28,-
BRD-2025M11-000094,POL-7653013,06-Sep-25,08/09/2025,closed,AD,London,EHK,3080.77,
BRD-2025M11-000095,POL-4542299,21/10/2025,04/11/2025,C,TPPD,Midlands,TMF,£309.18,-
BRD-2025M11-000096,POL-6479066,18/08/2025,18/09/2025,OPEN,TH,London,HWR,1285.65,4744.41
BRD-2025M11-000097,POL-1672015,15/08/2024,25/08/2024,C,WS,London,KKH,£1781.70,-
BRD-2025M11-000098,POL-1216835,09/11/2025,09/11/2025,C,AD,Midlands,HHF,£817.55,-
BRD-2025M11-000099,POL-4060951,31/05/2025,08/06/2025,O,TH,South,HAK,£2725.70,£3321.23
BRD-2025M11-000100,POL-7015657,20/01/2025,09/02/2025,C,TPPD,London,KMK,£1430.02,
BRD-2025M11-000101,POL-9302187,2025-11-06,10/11/2025,OPEN,WS,London,TCL,57.06,£81.61
BRD-2025M11-000102,POL-3317960,27/06/2025,27/06/2025,C,TH,South,WRB,£229.52,-
BRD-2025M11-000103,POL-6254057,02/12/2024,05/12/2024,C,AD,London,PHP,£1396.67,
BRD-2025M11-000104,POL-5316045,15/02/2025,17/02/2025,O,TPBI,London,KEF,19.89,£572.96
BRD-2025M11-000105,POL-4202630,30/11/2025,30/11/2025,closed,FI,South,MLG,£241.76,-
BRD-2025M11-000106,POL-1008134,22/09/2025,02/10/2025,O,TH,South,ELR,£637.53,£558.57
BRD-2025M11-000107,POL-2121133,08/03/2025,29/03/2025,C,TPBI,North,BAR,2559.07,0.00
BRD-2025M11-000108,POL-3471290,15/09/2025,30/09/2025,C,TPPD,Scotland,NGW,£2185.53,0.00
BRD-2025M11-000109,POL-8627194,02/11/2025,19/11/2025,O,WS,South,ANP,£417.04,£3118.29
BRD-2025M11-000110,POL-6193388,29/10/2025,05/11/2025,C,TPBI,Scotland,SFW,14440.10,0.00
BRD-2025M11-000111,POL-1315126,14/08/2024,13/09/2024,C,TPPD,Midlands,EGD,£2534.75,0.00
BRD-2025M11-000112,POL-3954540,22-Nov-25,30/11/2025,C,AD,North,JEJ,3472.54,-
BRD-2025M11-000113,POL-2819871,12/08/2025,20/09/2025,C,FI,Scotland,WML,£664.36,-
BRD-2025M11-000114,POL-4684208,23-Jun-25,23/06/2025,O,AD,Midlands,SRD,359.90,£1202.13
BRD-2025M11-000115,POL-2993710,04-Dec-24,04/01/2025,O,FI,North,LAS,236.03,207.88
BRD-2025M11-000116,POL-8692625,16/07/2025,20/07/2025,C,AD,London,HRL,£1770.25,
BRD-2025M11-000117,POL-1655581,07/03/2025,07/03/2025,C,TPPD,South,RFA,1267.48,0.00
BRD-2025M11-000118,POL-5590989,21/02/2025,25/02/2025,closed,WS,London,JLE,£405.70,0.00
BRD-2025M11-000119,POL-3901789,19/10/2025,20/10/2025,C,TPPD,Midlands,SPJ,4063.59,
BRD-2025M11-000120,POL-1587890,06/05/2025,21/06/2025,C,WS,South,LAT,£6764.85,
BRD-2025M11-000121,POL-3869691,25/11/2025,26/11/2025,closed,TPBI,South,DEL,540.75,
BRD-2025M11-000122,POL-4894843,02-Sep-24,19/09/2024,C,TPPD,London,NWR,939.52,0.00
BRD-2025M11-000123,POL-5645974,20/04/2024,23/04/2024,O,TPPD,London,LFT,£2635.55,£5406.55
BRD-2025M11-000124,POL-2561120,05/08/2025,11/08/2025,O,TPPD,North,DGM,£1115.79,£663.15
BRD-2025M11-000125,POL-5212900,10/02/2025,16/02/2025,OPEN,TPPD,Midlands,DLJ,43.81,£2942.95
BRD-2025M11-000126,POL-4077314,09-May-25,13/05/2025,O,TPPD,North,EJR,6.20,£643.59
BRD-2025M11-000127,POL-6192359,15/08/2025,01/09/2025,O,AD,Scotland,SSR,£307.69,£1619.50
BRD-2025M11-000128,POL-8246798,25/01/2025,26/01/2025,o,TPPD,London,HSP,447.59,£311.79
BRD-2025M11-000129,POL-3753657,29/08/2024,14/09/2024,closed,AD,Midlands,NHL,445.36,
BRD-2025M11-000130,POL-4430597,02/11/2024,21/11/2024,closed,TPBI,London,HSS,£397.08,
BRD-2025M11-000131,POL-5475016,15-Sep-24,03/10/2024,C,TH,Scotland,CEC,£408.01,0.00
BRD-2025M11-000132,POL-1397480,08/07/2025,10/07/2025,C,AD,South,FGC,£3553.33,0.00
BRD-2025M11-000133,POL-5958693,2025-05-13,12/06/2025,RO,AD,Midlands,AHR,1420.26,£3167.98
BRD-2025M11-000134,POL-5618401,16/11/2025,21/11/2025,C,AD,South,NCT,2939.19,
BRD-2025M11-000135,POL-7153441,18/10/2025,19/10/2025,O,AD,Midlands,MDC,£4240.20,3643.04
BRD-2025M11-000136,POL-2903044,18/11/2025,30/11/2025,CWP,TPPD,North,PHF,,-
BRD-2025M11-000137,POL-4314616,15/11/2025,16/11/2025,closed,TPPD,Scotland,LEG,£2175.55,
BRD-2025M11-000138,POL-2397302,20/03/2025,12/04/2025,C,WS,Scotland,REK,3173.00,
BRD-2025M11-000139,POL-8466904,2025-07-31,05/08/2025,CWP,AD,London,HJW,,-
BRD-2025M11-000140,POL-8986424,2024-07-25,03/08/2024,O,AD,Midlands,NSH,£1219.39,1256.75
BRD-2025M11-000141,POL-7386554,01/03/2025,05/03/2025,C,AD,North,GNJ,919.40,
BRD-2025M11-000142,POL-7819886,02/09/2025,15/09/2025,C,AD,Scotland,KMG,3157.61,0.00
BRD-2025M11-000143,POL-8212153,08/08/2025,18/08/2025,O,WS,London,SPE,345.80,2395.55
BRD-2025M11-000144,POL-6180259,28/08/2025,18/10/2025,CWP,AD,London,EWK,,-
BRD-2025M11-000145,POL-9836739,25/08/2025,28/08/2025,C,AD,Scotland,HSM,2135.38,-
BRD-2025M11-000146,POL-6944435,01/03/2025,06/03/2025,O,TH,London,RHP,100.76,151.45
BRD-2025M11-000147,POL-6531697,21/05/2025,23/05/2025,C,AD,London,LPK,6108.83,0.00
BRD-2025M11-000148,POL-6204671,12/08/2025,13/08/2025,C,TPPD,South,RLE,£3415.20,0.00
BRD-2025M11-000149,POL-6115999,15/09/2025,16/09/2025,C,AD,London,JEL,£1931.08,-
BRD-2025M11-000150,POL-4447498,01/11/2025,03/11/2025,C,TPPD,Midlands,EGS,1633.22,0.00
BRD-2025M11-000151,POL-7622789,2025-08-18,29/08/2025,O,TH,Scotland,NJD,49.96,930.30
BRD-2025M11-000152,POL-3424277,29/06/2025,06/07/2025,O,TPBI,North,ALR,£78.40,537.68
BRD-2025M11-000153,POL-6682449,10/10/2025,15/10/2025,O,FI,South,RTP,12601.71,£21040.31
BRD-2025M11-000154,POL-3627414,08/08/2025,03/09/2025,C,TPPD,Scotland,DGE,£1922.11,-
BRD-2025M11-000155,POL-2706820,17/03/2025,01/04/2025,C,AD,North,PPH,339.82,0.00
BRD-2025M11-000156,POL-3723209,13/07/2025,24/07/2025,C,WS,London,LKC,£11094.61,-
BRD-2025M11-000157,POL-2190619,18/03/2025,23/03/2025,C ,TPPD,London,FAN,£556.23,0.00
BRD-2025M11-000158,POL-8129107,05/10/2025,30/10/2025,C ,TPPD,Midlands,NWH,3079.00,
BRD-2025M11-000159,POL-4213285,2025-11-01,11/11/2025,OPEN,TH,North,ADG,602.99,708.29
BRD-2025M11-000160,POL-9229930,30/11/2025,30/11/2025,O,TH,London,ARD,£184.70,278.11
BRD-2025M11-000161,POL-8756363,,06/10/2024,O,TPBI,North,GED,1399.86,811.11
BRD-2025M11-000162,POL-7461399,13/07/2025,29/07/2025,C,TPPD,Midlands,WEP,£2817.42,0.00
BRD-2025M11-000163,POL-4577432,12/07/2025,13/07/2025,C,TH,London,RHC,839.76,0.00
BRD-2025M11-000164,POL-6224590,23/10/2025,26/10/2025,C ,AD,Scotland,JEB,£1018.18,-
BRD-2025M11-000165,POL-4108420,2025-09-22,27/09/2025,C,FI,South,WHN,£2768.73,
BRD-2025M11-000166,POL-4221835,30-Aug-25,30/08/2025,O,AD,Midlands,GPW,£1801.32,1274.08
BRD-2025M11-000167,POL-2889954,24-Jan-25,01/02/2025,RO,TH,South,LTE,£397.31,842.76
BRD-2025M11-000168,POL-3966811,10-Mar-25,12/03/2025,C,AD,Midlands,MHJ,547.69,
BRD-2025M11-000169,POL-8088220,30/12/2024,29/01/2025,C,AD,Midlands,GDB,3185.06,
BRD-2025M11-000170,POL-8088764,2024-05-31,02/06/2024,O,TPPD,North,CNR,280.50,£2614.90
BRD-2025M11-000171,POL-7656762,18/07/2025,07/08/2025,C,AD,Scotland,BCN,674.00,
BRD-2025M11-000172,POL-1342160,2025-05-02,02/05/2025,C,TPBI,North,WKN,£1914.98,0.00
BRD-2025M11-000173,POL-1115353,19/07/2025,21/07/2025,C,WS,London,PCA,£328.27,-
BRD-2025M11-000174,POL-1188412,,11/05/2025,closed,TH,South,JAE,1535.05,0.00
BRD-2025M11-000175,POL-9846509,07/07/2025,07/07/2025,OPEN,TPPD,South,JCE,1078.61,575.52
BRD-2025M11-000176,POL-2944913,13/05/2025,13/05/2025,C,AD,South,DDA,1220.42,
BRD-2025M11-000177,POL-4659464,21/04/2025,18/05/2025,O,TPPD,Midlands,RFA,429.34,£1379.79
BRD-2025M11-000178,POL-3243388,27/10/2025,29/10/2025,C,FI,Midlands,TDG,£1100.78,
BRD-2025M11-000179,POL-5905198,18/09/2025,07/10/2025,C,TPBI,London,FFC,£6056.41,-
BRD-2025M11-000180,POL-5281805,2025-11-21,30/11/2025,closed,AD,Midlands,TJD,3157.21,
BRD-2025M11-000181,POL-5700161,01/10/2025,07/11/2025,O,TH,Midlands,HMP,£619.76,582.33
BRD-2025M11-000182,POL-4433000,03/09/2025,26/09/2025,O,TPPD,North,RMT,£381.34,334.86
BRD-2025M11-000183,POL-3617286,23-Jul-25,03/08/2025,C ,TPPD,Midlands,WGW,556.71,0.00
BRD-2025M11-000184,POL-5861041,27/01/2025,29/01/2025,C,WS,Midlands,KBG,1432.10,
BRD-2025M11-000185,POL-5404289,30/01/2025,07/03/2025,closed,TPBI,South,CNG,£1676.03,-
BRD-2025M11-000186,POL-1499654,02-Jan-25,06/01/2025,CWP,TPPD,Midlands,MRK,-,0.00
BRD-2025M11-000187,POL-8910848,28/03/2025,28/03/2025,C,TPPD,Midlands,FJA,4572.81,0.00
BRD-2025M11-000188,POL-5725562,07/06/2024,26/06/2024,closed,AD,London,MHH,917.24,
BRD-2025M11-000189,POL-8067311,22/01/2025,22/01/2025,O,WS,London,CWM,1621.24,£1029.50
BRD-2025M11-000190,POL-3727894,09/09/2025,12/09/2025,O,TPPD,South,DRJ,£39.29,111.70
BRD-2025M11-000191,POL-4545580,21/09/2025,05/10/2025,O,AD,North,WSW,£594.58,£2428.05
BRD-2025M11-000192,POL-6614334,2025-07-25,03/08/2025,O,TPPD,Scotland,PNW,£2032.45,£1262.13
BRD-2025M11-000193,POL-5330723,15/04/2024,01/05/2024,closed,AD,Midlands,RHK,9760.54,-
BRD-2025M11-000194,POL-2301823,24/07/2025,30/07/2025,OPEN,TH,Midlands,KWL,£223.44,£2102.14
BRD-2025M11-000195,POL-7816418,2025-11-03,03/11/2025,RO,TPPD,Midlands,SSG,£1184.07,2329.07
BRD-2025M11-000196,POL-3377750,11/11/2025,14/11/2025,closed,TPPD,North,FAB,8281.58,
BRD-2025M11-000197,POL-3544719,06/03/2025,07/03/2025,C,TPBI,North,DKS,£6751.74,0.00
BRD-2025M11-000198,POL-6153770,2025-10-01,07/10/2025,C,TPPD,North,CGK,£757.18,0.00
BRD-2025M11-000199,POL-5622469,23/07/2025,29/08/2025,closed,WS,South,DJK,£2221.46,0.00
BRD-2025M11-000200,POL-2718343,2025-11-12,12/11/2025,C,AD,North,JFG,1111.08,-
BRD-2025M11-000201,POL-7067637,03/06/2025,19/06/2025,RO,TPPD,South,JWF,462.72,£2214.81
BRD-2025M11-000202,POL-2520685,29/03/2025,29/03/2025,C,AD,London,CCG,£2117.49,0.00
BRD-2025M11-000203,POL-7957706,13/08/2025,14/08/2025,C ,TH,Midlands,MWT,£497.60,
BRD-2025M11-000204,POL-9686220,05/11/2025,10/11/2025,C,WS,South,AWN,£1394.92,
BRD-2025M11-000205,POL-1957792,08-Mar-25,18/04/2025,C,AD,Midlands,TFS,£1471.95,
BRD-2025M11-000206,POL-9406120,06/09/2024,11/09/2024,C,AD,South,CJA,3605.71,-
BRD-2025M11-000207,POL-8889340,2025-11-20,30/11/2025,closed,AD,Scotland,CLG,£11837.97,0.00
BRD-2025M11-000208,POL-6064732,19/04/2025,15/05/2025,C,AD,Scotland,HCA,2847.61,
BRD-2025M11-000209,POL-2520806,13/12/2024,16/12/2024,O,TPBI,North,LDB,661.39,£1145.59
BRD-2025M11-000210,POL-4738022,02/08/2025,20/08/2025,O,AD,London,ENF,726.05,£428.93
BRD-2025M11-000211,POL-1283023,2025-02-15,18/02/2025,C ,TPBI,Midlands,TLJ,£2379.28,-
BRD-2025M11-000212,POL-4970367,21-Apr-25,05/05/2025,closed,TPPD,London,FDB,£3995.76,-
BRD-2025M11-000213,POL-1405486,06/06/2025,13/06/2025,C,WS,Scotland,WHG,£1451.54,
BRD-2025M11-000214,POL-3499231,04/05/2025,18/05/2025,C ,AD,North,TKG,759.38,0.00
BRD-2025M11-000215,POL-7887711,2024-05-16,17/05/2024,C,AD,London,LAE,£611.19,0.00
BRD-2025M11-000216,POL-8557100,2025-09-15,07/10/2025,CWP,AD,North,SDL,-,0.00
BRD-2025M11-000217,POL-8085465,23/05/2025,31/05/2025,CWP,TPBI,London,SGT,,-
BRD-2025M11-000218,POL-6053920,10/07/2025,20/07/2025,C ,TPPD,South,NSG,£7240.82,-
BRD-2025M11-000219,POL-6245601,11/01/2025,13/01/2025,O,AD,Midlands,THD,33.99,169.64
BRD-2025M11-000220,POL-7725810,26/08/2025,13/10/2025,closed,AD,North,ENL,1527.94,0.00
BRD-2025M11-000221,POL-6404250,26/07/2025,10/08/2025,RO,TPPD,South,CHJ,£2272.64,4390.67
BRD-2025M11-000222,POL-5451974,31/03/2024,05/05/2024,C,WS,South,AGE,£205150.19,0.00
BRD-2025M11-000223,POL-8926875,02/07/2025,09/07/2025,C ,AD,London,CCM,£4239.67,0.00
BRD-2025M11-000224,POL-4713814,16/11/2024,22/11/2024,O,AD,Midlands,BHA,£4761.49,£4477.93
BRD-2025M11-000225,POL-9041442,2024-04-21,29/04/2024,closed,TPPD,Midlands,AFC,£10134.04,-
BRD-2025M11-000226,POL-1359092,2025-10-17,30/10/2025,C,WS,Midlands,MEC,849.59,-
BRD-2025M11-000227,POL-9304650,10-Jun-25,13/06/2025,C,FI,North,RDJ,94.82,
BRD-2025M11-000228,POL-8431254,07/05/2025,10/05/2025,o,TPPD,South,TTH,1371.80,£1181.74
BRD-2025M11-000229,POL-4605338,2025-11-03,09/11/2025,O,TPPD,London,PHP,127.12,£2001.70
BRD-2025M11-000230,POL-1913126,23-Dec-24,27/12/2024,C,WS,Scotland,BFE,1266.87,
BRD-2025M11-000231,POL-5328785,30/05/2025,31/05/2025,O,AD,South,SMG,£223.74,533.84
BRD-2025M11-000232,POL-4996410,18/10/2025,30/10/2025,O,TPPD,Scotland,LJT,£117.08,925.51
BRD-2025M11-000233,POL-5132372,22/08/2024,26/08/2024,CWP,WS,Scotland,CGN,,
BRD-2025M11-000234,POL-2679105,25/10/2025,,RO,FI,London,WMM,£2149.04,£1581.74
BRD-2025M11-000235,POL-2373663,02/06/2025,12/07/2025,C,AD,South,JPH,£5570.64,-
BRD-2025M11-000236,POL-3642597,09/11/2025,17/11/2025,C,TPPD,Midlands,PJJ,£1299.84,
BRD-2025M11-000237,POL-6738454,26/02/2025,05/03/2025,C,WS,North,JFP,359.87,
BRD-2025M11-000238,POL-4379274,02/08/2025,09/08/2025,OPEN,AD,North,KTF,218.01,617.56
BRD-2025M11-000239,POL-4258865,03/10/2025,07/10/2025,C,AD,North,FTM,£6837.24,
BRD-2025M11-000240,POL-4547676,16-Oct-25,26/10/2025,closed,TPPD,London,JMH,£1143.33,0.00
BRD-2025M11-000241,POL-5825868,25/06/2025,01/07/2025,C,AD,London,CAF,£432.26,-
BRD-2025M11-000242,POL-8762754,16/05/2025,21/05/2025,closed,AD,South,RTS,2230.37,0.00
BRD-2025M11-000243,POL-8727474,2025-10-28,15/11/2025,CWP,FI,South,RMR,0.00,0.00
BRD-2025M11-000244,POL-3972579,09/03/2025,21/03/2025,C,WS,South,RAP,1550.98,-
BRD-2025M11-000245,POL-5278707,11-Jul-25,21/07/2025,C,WS,London,AJD,£1583.92,0.00
BRD-2025M11-000246,POL-1822761,20-May-25,10/06/2025,C,TPPD,London,WCS,£11495.57,0.00
BRD-2025M11-000247,POL-4693137,23/07/2025,31/07/2025,C,TH,London,JDA,5374.41,0.00
BRD-2025M11-000248,POL-5339352,2025-05-08,23/05/2025,o,AD,South,DWH,£3250.88,£3367.11
BRD-2025M11-000249,POL-6931903,01/10/2025,08/10/2025,C ,WS,Midlands,FSF,(91.25),-
BRD-2025M11-000250,POL-4696365,27/08/2024,27/08/2024,C,TPPD,London,GSC,£5534.90,-
BRD-2025M11-000251,POL-4115244,2025-09-27,01/10/2025,C,TPBI,London,ABT,6048.36,-
BRD-2025M11-000252,POL-6733464,2025-03-11,14/03/2025,O,AD,London,JJR,£1080.43,1914.13
