ClaimRef,PolicyNo,LossDate,ReportDate,Status,PerilCode,Region,Handler,PaidGBP,OutstandingGBP
BRD-2025M12-000025,POL-5135205,05/09/2025,07/09/2025,OPEN,FI,Midlands,GKN,£904.94,£1195.96
BRD-2025M12-000026,POL-1030620,2025-09-11,11/09/2025,closed,TPPD,London,BJG,£2383.46,0.00
BRD-2025M12-000027,POL-5711698,01/04/2025,18/04/2025,closed,TPBI,London,PCG,£2586.99,-
BRD-2025M12-000028,POL-6423657,20/07/2024,21/07/2024,closed,TPBI,South,LEM,12361.65,0.00
BRD-2025M12-000029,POL-1347354,15/08/2025,17/08/2025,C ,WS,North,BET,£2023.84,
BRD-2025M12-000030,POL-6577590,20/12/2024,22/12/2024,O,AD,North,MFH,£1276.11,£2174.67
BRD-2025M12-000031,POL-4961201,23/07/2025,23/07/2025,closed,AD,London,PCE,2053.50,
BRD-2025M12-000032,POL-3820223,26/10/2025,30/11/2025,CWP,TPPD,North,PHM,-,0.00
BRD-2025M12-000033,POL-5326253,12/05/2025,02/06/2025,closed,TPPD,Midlands,AND,£2152.26,0.00
BRD-2025M12-000034,POL-9359301,14/07/2024,27/07/2024,O,FI,Scotland,CKD,£389.47,£488.17
BRD-2025M12-000035,POL-2919423,08/10/2025,12/10/2025,C ,FI,London,JEB,£520.97,0.00
BRD-2025M12-000036,POL-4864589,07/12/2025,12/12/2025,O,TPPD,Scotland,FJH,£215.29,1528.92
BRD-2025M12-000037,POL-5761207,02/12/2025,15/12/2025,CWP,AD,Midlands,PFR,-,-
BRD-2025M12-000038,POL-9013290,24/07/2025,27/07/2025,OPEN,FI,London,GCE,£759.51,£989.14
BRD-2025M12-000039,POL-4101622,2024-02-19,22/02/2024,C ,TPPD,North,ABK,£418.30,
BRD-2025M12-000040,POL-2774320,2025-01-01,04/01/2025,O,TPPD,Scotland,PJG,1401.44,£1114.21
BRD-2025M12-000041,POL-5000093,30/01/2025,14/02/2025,C,TH,Midlands,MEA,£3938.96,0.00
BRD-2025M12-000042,POL-1267993,18/06/2025,24/06/2025,C,AD,North,GHP,£587.16,-
BRD-2025M12-000043,POL-4654785,03/03/2025,13/03/2025,closed,TPPD,Scotland,EKN,996.33,-
BRD-2025M12-000044,POL-2699745,18/06/2025,06/07/2025,O,TPPD,Midlands,KRF,£135.09,£2072.53
BRD-2025M12-000045,POL-1389424,13/09/2025,28/09/2025,C,TPBI,South,TTP,£322.11,
BRD-2025M12-000046,POL-1510302,25/09/2025,27/09/2025,O,TH,London,LLD,£220.68,£445.47
BRD-2025M12-000047,POL-1485426,13/01/2025,20/01/2025,C,AD,London,THH,£5694.40,
BRD-2025M12-000048,POL-2165916,02/12/2024,07/12/2024,closed,WS,North,MPP,£7739.30,0.00
BRD-2025M12-000049,POL-5892435,16/05/2025,20/05/2025,closed,AD,London,AHC,£592.29,-
BRD-2025M12-000050,POL-4758457,12/09/2024,20/09/2024,closed,WS,Midlands,FSN,£2522.02,0.00
BRD-2025M12-000051,POL-5978044,2025-12-25,31/12/2025,C,TPPD,London,TLP,3979.26,-
BRD-2025M12-000052,POL-5729850,21/09/2024,22/09/2024,OPEN,AD,London,KCF,£2968.42,4543.79
BRD-2025M12-000053,POL-4950095,16/12/2025,18/12/2025,closed,TH,London,LLG,1471.96,0.00
BRD-2025M12-000054,POL-9183255,06-Mar-25,09/03/2025,CWP,AD,North,PSF,-,0.00
BRD-2025M12-000055,POL-9211634,19/06/2025,25/06/2025,closed,FI,Midlands,FPC,6116.76,0.00
BRD-2025M12-000056,POL-8725058,30/04/2025,02/05/2025,OPEN,AD,South,GMF,£240.81,£2804.32
BRD-2025M12-000057,POL-6097650,17/10/2025,17/10/2025,C,WS,North,AWC,£3998.56,-
BRD-2025M12-000058,POL-9801049,25-Nov-25,31/12/2025,O,TH,Scotland,LNW,£860.11,£545.59
BRD-2025M12-000059,POL-2625683,22-Oct-25,05/11/2025,C,TPPD,Midlands,WLG,418.89,
BRD-2025M12-000060,POL-4725377,17/03/2025,01/04/2025,O,TPPD,London,BNL,£1778.45,£3328.78
BRD-2025M12-000061,POL-5026803,2025-12-28,31/12/2025,C,AD,North,HWN,£1650.79,
BRD-2025M12-000062,POL-4183106,2025-08-07,19/08/2025,RO,AD,London,SMM,£110.33,1147.03
BRD-2025M12-000063,POL-3312633,28/12/2025,31/12/2025,O,TPBI,Midlands,LDC,£606.91,£3343.44
BRD-2025M12-000064,POL-2927078,01/09/2025,02/09/2025,C,TPPD,London,TGA,£2073.90,
BRD-2025M12-000065,POL-5907631,09/06/2025,13/06/2025,C,TPPD,North,LBP,£588.76,
BRD-2025M12-000066,POL-3877845,16/11/2024,20/11/2024,C,AD,South,MHL,4283.43,
BRD-2025M12-000067,POL-2545046,2025-09-08,11/09/2025,C ,WS,Midlands,RDH,£2039.66,-
BRD-2025M12-000068,POL-2666956,02/03/2025,11/03/2025,C,TH,London,HMF,£961.37,0.00
BRD-2025M12-000069,POL-9392158,2025-11-28,01/12/2025,O,WS,Scotland,KNE,£229.16,£1590.59
BRD-2025M12-000070,POL-9392909,11/10/2025,04/11/2025,CWP,AD,Scotland,WPG,0.00,
BRD-2025M12-000071,POL-5420889,08/09/2024,12/09/2024,C,AD,North,PBJ,428.85,0.00
BRD-2025M12-000072,POL-2634538,10/10/2025,15/10/2025,CWP,AD,London,BWB,,
BRD-2025M12-000073,POL-2832144,08/01/2025,20/01/2025,C,FI,South,GBE,£883.17,
BRD-2025M12-000074,POL-8306856,12/05/2025,12/06/2025,CWP,AD,North,KLA,-,
BRD-2025M12-000075,POL-1734862,2025-12-10,11/12/2025,OPEN,TPPD,Midlands,DBF,855.95,£2867.44
BRD-2025M12-000076,POL-4722621,2025-11-11,12/11/2025,C ,AD,South,HDA,£2315.80,
BRD-2025M12-000077,POL-6612791,2025-12-14,16/12/2025,C,TH,South,AGP,£1948.80,
BRD-2025M12-000078,POL-3506072,2025-09-04,29/10/2025,O,TPPD,Midlands,PCR,52.80,£497.10
BRD-2025M12-000079,POL-2924762,07/01/2025,10/01/2025,C,TH,Midlands,TCJ,£3912.22,-
BRD-2025M12-000080,POL-4429160,26/07/2025,05/08/2025,RO,TPPD,North,RDG,5029.74,£3661.44
BRD-2025M12-000081,POL-4479331,04/06/2025,17/06/2025,O,TPPD,South,TNA,£3843.24,2333.82
BRD-2025M12-000082,POL-9954862,22/09/2025,15/10/2025,O,WS,London,MSC,15.53,£100.12
BRD-2025M12-000083,POL-8178980,2024-10-11,13/10/2024,C,AD,Midlands,WEW,£1994.22,0.00
BRD-2025M12-000084,POL-4040964,25/08/2025,07/09/2025,RO,WS,London,CBC,£603.56,736.21
BRD-2025M12-000085,POL-1685830,18/11/2025,19/11/2025,O,TH,London,SMD,£260.67,£586.71
BRD-2025M12-000086,POL-3136194,21-Oct-25,22/10/2025,O,WS,South,LAM,280.33,£405.61
BRD-2025M12-000087,POL-1574708,21/11/2025,28/11/2025,C,TH,South,MMH,£2162.32,-
BRD-2025M12-000088,POL-4812339,29/11/2025,31/12/2025,C,AD,Scotland,SDC,395.42,-
BRD-2025M12-000089,POL-5416740,2024-12-14,25/12/2024,C,TPPD,Midlands,NND,£727.38,0.00
BRD-2025M12-000090,POL-4773844,26/07/2025,08/08/2025,o,TPPD,South,TDJ,£2056.01,£2871.20
BRD-2025M12-000091,POL-9350680,09/12/2025,14/12/2025,closed,AD,Scotland,LSW,1329.61,
BRD-2025M12-000092,POL-1959757,10-Oct-24,10/10/2024,C,TPBI,Scotland,WAF,£5357.99,0.00
BRD-2025M12-000093,POL-4596634,30/11/2025,02/12/2025,O,AD,Midlands,EFN,232.03,£874.84
BRD-2025M12-000094,POL-2129166,01-Aug-25,02/08/2025,C,AD,South,JSN,853.44,
BRD-2025M12-000095,POL-5249484,10/10/2025,12/10/2025,CWP,AD,London,MTA,-,0.00
BRD-2025M12-000096,POL-3012338,12/08/2025,27/08/2025,C,AD,London,LDC,2511.50,
BRD-2025M12-000097,POL-9053205,2025-06-09,10/06/2025,O,TPPD,North,STH,341.83,615.70
BRD-2025M12-000098,POL-2787836,2025-06-30,22/07/2025,C,WS,Midlands,REB,997.85,-
BRD-2025M12-000099,POL-2221854,01/10/2025,04/10/2025,closed,WS,Scotland,DDJ,£9525.88,-
BRD-2025M12-000100,POL-7963908,04/05/2025,20/05/2025,C,TH,London,CHA,£2480.98,-
BRD-2025M12-000101,POL-1145453,06/07/2025,15/08/2025,o,TPPD,Scotland,SDR,£34.89,£274.31
BRD-2025M12-000102,POL-3542579,02/08/2025,14/08/2025,O,AD,Midlands,BKS,4770.99,3004.22
BRD-2025M12-000103,POL-4177086,26/09/2025,27/09/2025,CWP,TPBI,South,GBD,0.00,
BRD-2025M12-000104,POL-1289243,14/10/2024,27/10/2024,RO,TPPD,South,LKF,£322.69,£3108.23
BRD-2025M12-000105,POL-6136740,13/11/2024,22/12/2024,O,WS,North,FBP,1035.27,£1218.43
BRD-2025M12-000106,POL-1572701,09/11/2024,18/11/2024,C,WS,South,BCH,428.69,0.00
BRD-2025M12-000107,POL-4330319,11/05/2024,18/07/2024,O,TH,South,MSE,£3.04,£83.10
BRD-2025M12-000108,POL-1231406,23/06/2025,28/06/2025,C,AD,Scotland,CPH,£225.95,-
BRD-2025M12-000109,POL-5599048,06/04/2025,29/05/2025,C,AD,South,BDB,£2433.17,-
BRD-2025M12-000110,POL-6090035,04/02/2025,04/02/2025,C,AD,Midlands,AEG,£1923.44,-
BRD-2025M12-000111,POL-1797790,2025-02-13,20/02/2025,C,AD,South,NDA,891.78,-
BRD-2025M12-000112,POL-3194049,05/07/2025,08/07/2025,CWP,TH,London,KSP,0.00,0.00
BRD-2025M12-000113,POL-6794082,2025-07-22,14/08/2025,O,AD,Midlands,JJE,44.28,166.60
BRD-2025M12-000114,POL-8196382,25/09/2025,14/10/2025,RO,TH,Scotland,JEN,1053.17,578.27
BRD-2025M12-000115,POL-2862059,2024-12-14,15/01/2025,O,AD,South,TAF,£11079.53,£5734.68
BRD-2025M12-000116,POL-9527303,01-Sep-25,30/09/2025,OPEN,TPPD,Midlands,WCF,533.36,£1040.04
BRD-2025M12-000117,POL-6041829,2025-08-11,15/08/2025,C,AD,South,ARP,1576.05,-
BRD-2025M12-000118,POL-7130605,2025-11-28,29/11/2025,C,TPPD,London,NDW,1899.65,
BRD-2025M12-000119,POL-6626204,20/03/2025,23/03/2025,C ,TPPD,Scotland,CNW,£5490.91,-
BRD-2025M12-000120,POL-8835051,21/10/2025,21/10/2025,closed,TPPD,South,SNE,£824.90,0.00
BRD-2025M12-000121,POL-9655728,18/03/2025,19/03/2025,C,TPPD,South,WKR,1371.64,0.00
BRD-2025M12-000122,POL-2975844,25-Sep-25,04/10/2025,C,AD,Scotland,NSD,632.39,-
BRD-2025M12-000123,POL-2360058,07/08/2025,30/08/2025,C,TPPD,South,RSH,£1385.15,-
BRD-2025M12-000124,POL-7777461,30/06/2025,10/08/2025,C,TPPD,Scotland,RER,291.45,0.00
BRD-2025M12-000125,POL-7112177,2024-11-06,06/11/2024,O,AD,London,EDJ,£183.59,£205.60
BRD-2025M12-000126,POL-9395862,2025-08-08,11/08/2025,CWP,TPBI,North,PSJ,-,-
BRD-2025M12-000127,POL-6234236,11/11/2024,28/11/2024,C,FI,North,RHC,2804.27,
BRD-2025M12-000128,POL-3922658,06/08/2024,15/08/2024,O,AD,North,DKK,1473.40,£1415.77
BRD-2025M12-000129,POL-7278507,09/06/2025,13/06/2025,C,FI,Midlands,NBT,£800.59,-
BRD-2025M12-000130,POL-3635415,2025-07-31,22/08/2025,C,AD,North,ELL,1888.97,-
BRD-2025M12-000131,POL-1383652,03/07/2025,15/07/2025,C,WS,Midlands,NNA,2334.05,
BRD-2025M12-000132,POL-4833697,27/04/2025,08/05/2025,OPEN,TPPD,London,GNL,1275.43,£3274.44
BRD-2025M12-000133,POL-7476856,13/07/2025,18/07/2025,O,WS,Scotland,DFS,£526.25,£2187.55
BRD-2025M12-000134,POL-2721368,2025-11-18,26/11/2025,closed,FI,North,ABS,2013.03,-
BRD-2025M12-000135,POL-5041358,08/07/2025,12/07/2025,O,TH,Scotland,BBA,382.64,£304.46
BRD-2025M12-000136,POL-4378642,02/07/2025,08/07/2025,C,WS,Midlands,FMK,£2420.72,-
BRD-2025M12-000137,POL-7817157,22-Jul-25,09/08/2025,O,TH,London,CMH,£5.86,£71.97
BRD-2025M12-000138,POL-5212578,28/04/2025,11/05/2025,C ,TPPD,North,BAR,1024.42,0.00
BRD-2025M12-000139,POL-3184333,03/12/2024,03/12/2024,O,TPPD,South,BWA,1452.61,£691.44
BRD-2025M12-000140,POL-9775023,04/07/2025,29/07/2025,CWP,TPPD,Midlands,JBP,-,0.00
BRD-2025M12-000141,POL-8434038,04/09/2025,07/09/2025,C,WS,London,EFB,£8822.93,
BRD-2025M12-000142,POL-9440184,24/12/2025,31/12/2025,C,TH,Scotland,KFP,182.04,
BRD-2025M12-000143,POL-5943610,15/07/2025,23/07/2025,C,TPBI,London,BME,£565.56,
BRD-2025M12-000144,POL-6477060,09/03/2025,16/03/2025,C,TPBI,London,FKC,£6693.31,-
BRD-2025M12-000145,POL-6382156,2025-02-12,13/02/2025,O,AD,South,DTS,£470.43,235.39
BRD-2025M12-000146,POL-2189612,08/09/2025,10/09/2025,C ,TPBI,South,BGJ,1810.35,
BRD-2025M12-000147,POL-6202601,2025-05-28,10/06/2025,CWP,AD,North,STW,0.00,
BRD-2025M12-000148,POL-4286429,17/10/2025,25/11/2025,o,TH,North,DHS,£182.20,446.59
BRD-2025M12-000149,POL-3000797,25/10/2025,25/10/2025,O,TPBI,London,LGS,£2321.93,£1335.27
BRD-2025M12-000149,POL-3000797,25/10/2025,25/10/2025,O,TPBI,London,LGS,£2321.93,£1335.27
BRD-2025M12-000150,POL-6722332,17/08/2025,27/08/2025,closed,AD,North,PHB,3105.59,0.00
BRD-2025M12-000151,POL-7092636,31/10/2025,03/11/2025,C,WS,Midlands,FRC,£1878.13,0.00
BRD-2025M12-000152,POL-9312048,15-Jul-25,22/07/2025,O,TPBI,London,BKH,457.44,£631.80
BRD-2025M12-000153,POL-7825976,23/10/2025,24/11/2025,C,TPPD,London,ADM,505.54,-
BRD-2025M12-000154,POL-6720300,19/10/2025,04/11/2025,O,TH,Midlands,BLK,31.74,805.41
BRD-2025M12-000155,POL-6582008,14/05/2025,01/06/2025,CWP,AD,London,DDJ,-,
BRD-2025M12-000156,POL-4558152,05/08/2024,16/08/2024,O,AD,London,NLH,£185.32,709.06
BRD-2025M12-000157,POL-3198086,18/07/2025,20/07/2025,O,AD,North,SLM,£156.53,£7200.94
BRD-2025M12-000158,POL-9432314,02/06/2025,02/06/2025,RO,AD,London,JFG,551.87,£5294.11
BRD-2025M12-000159,POL-8682941,22/11/2025,09/12/2025,closed,AD,London,SLW,£1073.96,-
BRD-2025M12-000160,POL-8345998,29/11/2025,09/12/2025,O,AD,Scotland,TNF,£1006.64,7625.94
BRD-2025M12-000161,POL-1739583,2024-11-07,23/11/2024,C,TPPD,North,TAT,£625.53,0.00
BRD-2025M12-000162,POL-5516478,21/09/2025,12/10/2025,C,TPBI,Midlands,FFF,955.48,-
BRD-2025M12-000163,POL-4776259,19/11/2025,06/12/2025,O,TH,Scotland,MTE,£430.30,£691.58
BRD-2025M12-000164,POL-5962157,08/02/2025,15/02/2025,O,AD,London,ABR,£396.49,889.87
BRD-2025M12-000165,POL-2671428,20/07/2024,27/07/2024,C,AD,London,LTA,2982.52,0.00
BRD-2025M12-000166,POL-7874830,08/12/2025,11/12/2025,C,TH,North,JRJ,£1299.51,0.00
BRD-2025M12-000167,POL-7705281,19/01/2025,26/01/2025,C,TPPD,South,EWN,£467.43,
BRD-2025M12-000168,POL-4283518,15/06/2025,19/06/2025,O,TPPD,South,GGP,1985.80,£1868.83
BRD-2025M12-000169,POL-6934821,15/06/2025,12/07/2025,C ,TPPD,Midlands,GRE,1361.04,-
BRD-2025M12-000170,POL-8768437,26/12/2024,28/12/2024,O,WS,North,DAN,£132.80,2093.18
BRD-2025M12-000171,POL-3490188,31/08/2025,14/09/2025,O,TPPD,Midlands,KTW,£525.06,4937.14
BRD-2025M12-000172,POL-4933625,23/09/2024,24/09/2024,C,TPBI,South,EFJ,£3057.66,
BRD-2025M12-000173,POL-7078786,14/12/2025,31/12/2025,closed,TPPD,Midlands,WDJ,£583.06,
BRD-2025M12-000174,POL-6185091,2025-05-21,22/05/2025,C,TPPD,London,DLT,£3866.59,
BRD-2025M12-000175,POL-9614796,25/05/2025,28/05/2025,CWP,AD,Midlands,CLJ,0.00,0.00
BRD-2025M12-000176,POL-7396532,04/11/2025,11/11/2025,RO,TH,South,RCS,£1018.06,4248.58
BRD-2025M12-000177,POL-8074988,12/05/2024,03/06/2024,CWP,TPPD,South,ADN,0.00,-
BRD-2025M12-000178,POL-5663020,01/12/2024,05/12/2024,C,TPPD,London,DHK,£3239.88,-
BRD-2025M12-000179,POL-7664650,2025-07-13,15/07/2025,C,WS,Midlands,NRG,10439.63,-
BRD-2025M12-000180,POL-4077412,2025-06-04,07/06/2025,O,TPPD,Scotland,TNH,£172.43,£474.76
BRD-2025M12-000181,POL-8203904,10/02/2025,11/02/2025,C,AD,London,LCC,12950.17,0.00
BRD-2025M12-000182,POL-2072311,08/12/2025,09/12/2025,OPEN,WS,Midlands,PET,248.71,£968.03
BRD-2025M12-000183,POL-6774328,22/04/2025,23/04/2025,O,TPPD,North,LMB,212.19,415.45
BRD-2025M12-000184,POL-5664440,23/09/2024,12/10/2024,C,TH,North,MNK,£1177.23,0.00
BRD-2025M12-000185,POL-5674642,05/01/2025,21/01/2025,C ,AD,North,MTR,2519.15,
BRD-2025M12-000186,POL-9467051,04/09/2025,06/09/2025,OPEN,TPPD,London,PPG,£32.42,43.44
BRD-2025M12-000187,POL-1371457,2025-05-25,15/06/2025,C,TPPD,London,SAF,2301.64,
BRD-2025M12-000188,POL-4774845,12/05/2025,14/05/2025,closed,AD,South,RBS,£16075.57,
BRD-2025M12-000189,POL-8891306,2024-09-21,18/10/2024,O,AD,North,AFT,£1242.11,1845.65
BRD-2025M12-000190,POL-6086564,08-Aug-25,16/08/2025,O,WS,South,MTA,16.77,£553.44
BRD-2025M12-000191,POL-8049414,2025-08-04,09/08/2025,C,AD,Midlands,RND,1348.42,
BRD-2025M12-000192,POL-3786779,01/03/2025,03/03/2025,OPEN,AD,North,ALL,546.18,524.76
BRD-2025M12-000193,POL-2744596,15/01/2025,15/01/2025,O,FI,North,BPT,£105.98,117.10
BRD-2025M12-000194,POL-1511591,2025-03-27,13/04/2025,CWP,WS,London,WRM,-,0.00
BRD-2025M12-000195,POL-1888510,05/09/2024,15/09/2024,O,WS,North,CRD,£572.44,£753.86
BRD-2025M12-000196,POL-4621505,02/06/2025,08/06/2025,RO,AD,North,EFL,£537.03,£2241.84
BRD-2025M12-000197,POL-7413986,15/07/2025,24/07/2025,C,TH,London,CRW,£1898.89,
BRD-2025M12-000198,POL-1850858,2025-11-16,21/11/2025,C,FI,Scotland,CTP,2597.23,0.00
BRD-2025M12-000199,POL-6299041,2025-07-31,04/08/2025,O,AD,Scotland,EWT,(1801.30),0.00
BRD-2025M12-000200,POL-4905533,19/08/2025,26/08/2025,C,TPPD,South,WLT,£1930.87,-
BRD-2025M12-000201,POL-6980036,25/12/2025,31/12/2025,C,WS,Midlands,DTA,£1119.71,0.00
BRD-2025M12-000202,POL-9136500,08/08/2025,12/08/2025,C,AD,London,NKS,559.23,
BRD-2025M12-000203,POL-1808578,2025-06-21,22/06/2025,O,FI,North,GMJ,£179.61,£367.72
BRD-2025M12-000204,POL-5141785,26/09/2025,01/10/2025,C ,WS,Midlands,CHF,4099.19,-
BRD-2025M12-000205,POL-9299628,06/11/2025,11/11/2025,C,TPPD,London,PRN,423.34,
BRD-2025M12-000206,POL-8291738,08/10/2025,19/11/2025,C,TPPD,North,BLH,£269.55,
BRD-2025M12-000207,POL-7634772,2025-08-29,30/08/2025,O,AD,South,FWW,1291.99,£1151.59
BRD-2025M12-000208,POL-4489840,19/03/2025,07/04/2025,C,TPPD,Scotland,PLJ,4007.92,0.00
BRD-2025M12-000209,POL-2005911,2025-10-17,18/10/2025,O,TPPD,Scotland,CDP,392.94,£171.36
BRD-2025M12-000210,POL-9979762,07/09/2025,08/09/2025,O,TPPD,Midlands,BBK,1653.84,3266.51
BRD-2025M12-000211,POL-5856075,06/10/2025,25/10/2025,closed,TPPD,Scotland,SDC,731.91,-
BRD-2025M12-000212,POL-4372388,08/09/2025,08/09/2025,C,TPBI,London,TCB,£1657.74,-
BRD-2025M12-000213,POL-2707258,25/08/2025,31/08/2025,C,WS,London,RPJ,£22625.39,0.00
BRD-2025M12-000214,POL-8059278,22/06/2025,26/06/2025,C,WS,Scotland,CEF,6247.26,-
BRD-2025M12-000214,POL-8059278,22/06/2025,26/06/2025,C,WS,Scotland,CEF,6247.26,-
BRD-2025M12-000215,POL-3912348,2025-03-18,07/04/2025,CWP,TH,South,HFF,-,-
BRD-2025M12-000216,POL-6383970,16/04/2025,26/04/2025,C,TPBI,North,ALR,2263.26,-
BRD-2025M12-000217,POL-5078384,26/09/2025,05/10/2025,RO,WS,Scotland,LJJ,164.37,£254.00
BRD-2025M12-000218,POL-5525689,01/11/2025,29/11/2025,O,TPBI,South,RJP,£1493.94,£1470.10
BRD-2025M12-000219,POL-3687183,19/10/2025,24/10/2025,C,TPBI,South,PBL,£2386.09,-
BRD-2025M12-000220,POL-7180653,10/01/2025,15/01/2025,CWP,AD,South,WFM,-,-
BRD-2025M12-000221,POL-3801609,24/12/2025,31/12/2025,C,AD,Midlands,DGT,£9961.00,-
BRD-2025M12-000222,POL-7943979,27/05/2024,07/06/2024,C,AD,South,CAD,£738.91,0.00
BRD-2025M12-000223,POL-1677745,2025-09-29,22/10/2025,C,AD,London,TGC,5069.68,-
BRD-2025M12-000224,POL-9002255,05-May-25,11/05/2025,C,TPBI,Midlands,GCN,£2652.40,
BRD-2025M12-000225,POL-7647394,17/04/2025,18/05/2025,C,WS,North,SPP,£650.61,-
BRD-2025M12-000226,POL-6375816,31/05/2025,04/06/2025,C,FI,South,LEH,1827.57,0.00
BRD-2025M12-000227,POL-9957846,31/03/2025,05/04/2025,O,TPPD,South,SDP,£6419.81,£13366.73
BRD-2025M12-000228,POL-6148145,26/01/2025,22/02/2025,C,AD,Scotland,PFC,£2517.02,
BRD-2025M12-000229,POL-8711011,2025-06-01,23/06/2025,C,TPPD,London,FGJ,£3616.48,
BRD-2025M12-000230,POL-1191052,2025-08-17,20/08/2025,C,AD,North,DKN,£2110.72,
BRD-2025M12-000231,POL-8146066,07/10/2025,07/10/2025,C,TPPD,South,FBL,£570.35,0.00
BRD-2025M12-000232,POL-4002377,14/12/2025,23/12/2025,C,TPPD,Midlands,HRR,1041.25,0.00
BRD-2025M12-000233,POL-1294724,27/02/2025,23/03/2025,C,AD,South,CBP,1794.11,0.00
BRD-2025M12-000234,POL-3846650,2025-12-26,30/12/2025,C,TPPD,South,KDF,£18077.57,0.00
BRD-2025M12-000235,POL-7880421,24/11/2025,28/11/2025,CWP,AD,London,LET,-,0.00
BRD-2025M12-000236,POL-7271349,15/10/2025,18/10/2025,O,TH,North,LNB,447.42,£1010.28
BRD-2025M12-000237,POL-8933611,14/06/2025,15/06/2025,C ,WS,North,DKN,£254.92,
BRD-2025M12-000238,POL-4550903,22/04/2025,04/05/2025,C ,TPPD,North,ELP,£1918.03,
BRD-2025M12-000239,POL-1873171,2025-10-19,24/10/2025,C,TPPD,North,EGF,£2016.25,-
BRD-2025M12-000240,POL-5028482,15-Apr-25,29/04/2025,C ,TPPD,North,DSM,£836.98,
BRD-2025M12-000241,POL-5063378,13/03/2025,02/04/2025,C,FI,South,JPC,(80.03),0.00
BRD-2025M12-000242,POL-2281607,26/08/2024,01/09/2024,C,AD,South,JMJ,1282.69,-
BRD-2025M12-000243,POL-6941364,28/10/2025,16/12/2025,C,WS,South,ETE,1664.14,
BRD-2025M12-000244,POL-1470896,19/10/2025,31/10/2025,O,TPPD,Midlands,JKC,£709.27,£783.44
BRD-2025M12-000245,POL-9988855,11/12/2025,31/12/2025,RO,TPPD,North,DWE,£235.38,3002.26
BRD-2025M12-000246,POL-8533030,03/01/2025,27/01/2025,O,AD,North,GSA,£109.25,£330.77
BRD-2025M12-000247,POL-6111246,11-Sep-25,16/09/2025,C ,AD,North,LCW,£170.74,-
BRD-2025M12-000248,POL-5059423,08/07/2025,15/07/2025,O,TPBI,Midlands,KHW,£564.75,£3391.39
BRD-2025M12-000249,POL-9769609,07/07/2025,19/07/2025,closed,TPPD,South,RHP,£1016.79,
BRD-2025M12-000250,POL-5561415,11/04/2025,23/04/2025,closed,AD,South,LSR,869.84,-
BRD-2025M12-000251,POL-4816792,25-Oct-25,31/10/2025,C,TH,London,RPS,£1695.51,-
BRD-2025M12-000252,POL-1945933,16/05/2025,11/06/2025,CWP,TPPD,London,BMD,,
