claim_id,policy_segment,peril,accident_date,report_date,transaction_date,dev_month,transaction_type,transaction_amount,large_loss_flag,line_of_business,region,channel
CLM-0003432,MOT-LON-BRK,TP_Damage,2024-09-02,2024-09-12,2024-09-12,0,RESERVE_CHANGE,4102.62,False,Motor,London,Broker
CLM-0003432,MOT-LON-BRK,TP_Damage,2024-09-02,2024-09-12,2024-11-16,2,RESERVE_CHANGE,-4102.62,False,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2024-06-20,0,RESERVE_CHANGE,165432.38,True,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2025-07-15,13,PAYMENT,40585.35,True,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2025-07-15,13,RESERVE_CHANGE,-67001.03,True,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2025-07-15,13,RECOVERY,-4300.53,True,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2025-07-15,13,PAYMENT,265.71,True,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2025-07-15,13,RESERVE_CHANGE,-265.71,True,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2025-12-12,18,PAYMENT,44448.43,True,Motor,London,Broker
CLM-0003433,MOT-LON-BRK,AD,2024-06-10,2024-06-20,2025-12-12,18,RESERVE_CHANGE,-44448.43,True,Motor,London,Broker
CLM-0003434,MOT-LON-BRK,Windscreen,2024-01-17,2024-02-07,2024-02-07,0,RESERVE_CHANGE,4975.82,False,Motor,London,Broker
CLM-0003434,MOT-LON-BRK,Windscreen,2024-01-17,2024-02-07,2025-01-02,12,PAYMENT,4011.01,False,Motor,London,Broker
CLM-0003434,MOT-LON-BRK,Windscreen,2024-01-17,2024-02-07,2025-01-02,12,RESERVE_CHANGE,-4975.82,False,Motor,London,Broker
CLM-0003435,MOT-LON-BRK,TP_Damage,2024-01-03,2024-02-06,2024-02-06,0,RESERVE_CHANGE,4593.95,False,Motor,London,Broker
CLM-0003435,MOT-LON-BRK,TP_Damage,2024-01-03,2024-02-06,2024-03-07,2,PAYMENT,2864.55,False,Motor,London,Broker
CLM-0003435,MOT-LON-BRK,TP_Damage,2024-01-03,2024-02-06,2024-03-07,2,RESERVE_CHANGE,-3631.03,False,Motor,London,Broker
CLM-0003435,MOT-LON-BRK,TP_Damage,2024-01-03,2024-02-06,2024-06-05,5,PAYMENT,473.49,False,Motor,London,Broker
CLM-0003435,MOT-LON-BRK,TP_Damage,2024-01-03,2024-02-06,2024-06-05,5,RESERVE_CHANGE,-473.49,False,Motor,London,Broker
CLM-0003435,MOT-LON-BRK,TP_Damage,2024-01-03,2024-02-06,2025-06-30,17,PAYMENT,489.42,False,Motor,London,Broker
CLM-0003435,MOT-LON-BRK,TP_Damage,2024-01-03,2024-02-06,2025-06-30,17,RESERVE_CHANGE,-489.42,False,Motor,London,Broker
CLM-0003436,MOT-LON-BRK,TP_Damage,2024-08-01,2024-08-08,2024-08-08,0,RESERVE_CHANGE,6604.83,False,Motor,London,Broker
CLM-0003436,MOT-LON-BRK,TP_Damage,2024-08-01,2024-08-08,2024-12-06,4,PAYMENT,5442.32,False,Motor,London,Broker
CLM-0003436,MOT-LON-BRK,TP_Damage,2024-08-01,2024-08-08,2024-12-06,4,RESERVE_CHANGE,-6604.83,False,Motor,London,Broker
CLM-0003437,MOT-LON-BRK,TP_Injury,2024-10-15,2024-11-06,2024-11-06,0,RESERVE_CHANGE,3709.76,False,Motor,London,Broker
CLM-0003437,MOT-LON-BRK,TP_Injury,2024-10-15,2024-11-06,2025-06-04,8,PAYMENT,725.86,False,Motor,London,Broker
CLM-0003437,MOT-LON-BRK,TP_Injury,2024-10-15,2024-11-06,2025-06-04,8,RESERVE_CHANGE,-787.23,False,Motor,London,Broker
CLM-0003437,MOT-LON-BRK,TP_Injury,2024-10-15,2024-11-06,2025-12-01,14,PAYMENT,2922.54,False,Motor,London,Broker
CLM-0003437,MOT-LON-BRK,TP_Injury,2024-10-15,2024-11-06,2025-12-01,14,RESERVE_CHANGE,-2922.54,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2024-06-26,0,RESERVE_CHANGE,5753.47,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2024-08-25,2,PAYMENT,87.86,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2024-08-25,2,RESERVE_CHANGE,392.57,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-02-21,8,PAYMENT,2762.71,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-02-21,8,RESERVE_CHANGE,-2762.71,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-05-22,11,PAYMENT,2505.27,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-05-22,11,RESERVE_CHANGE,-2505.27,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-07-21,13,PAYMENT,322.54,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-07-21,13,RESERVE_CHANGE,-322.54,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-11-18,17,PAYMENT,555.52,False,Motor,London,Broker
CLM-0003438,MOT-LON-BRK,TP_Injury,2024-06-16,2024-06-26,2025-11-18,17,RESERVE_CHANGE,-555.52,False,Motor,London,Broker
CLM-0003439,MOT-LON-BRK,TP_Injury,2024-05-25,2024-06-09,2024-06-09,0,RESERVE_CHANGE,3994.87,False,Motor,London,Broker
CLM-0003439,MOT-LON-BRK,TP_Injury,2024-05-25,2024-06-09,2024-09-07,4,PAYMENT,4306.49,False,Motor,London,Broker
CLM-0003439,MOT-LON-BRK,TP_Injury,2024-05-25,2024-06-09,2024-09-07,4,RESERVE_CHANGE,-3994.87,False,Motor,London,Broker
CLM-0003440,MOT-LON-BRK,Theft,2024-01-12,2024-01-22,2024-01-22,0,RESERVE_CHANGE,4017.83,False,Motor,London,Broker
CLM-0003440,MOT-LON-BRK,Theft,2024-01-12,2024-01-22,2024-06-20,5,PAYMENT,3669.12,False,Motor,London,Broker
CLM-0003440,MOT-LON-BRK,Theft,2024-01-12,2024-01-22,2024-06-20,5,RESERVE_CHANGE,-4017.83,False,Motor,London,Broker
CLM-0003441,MOT-LON-BRK,Windscreen,2024-12-24,2025-01-08,2025-01-08,0,RESERVE_CHANGE,4126.49,False,Motor,London,Broker
CLM-0003441,MOT-LON-BRK,Windscreen,2024-12-24,2025-01-08,2025-08-06,8,PAYMENT,2455.92,False,Motor,London,Broker
CLM-0003441,MOT-LON-BRK,Windscreen,2024-12-24,2025-01-08,2025-08-06,8,RESERVE_CHANGE,-1958.13,False,Motor,London,Broker
CLM-0003442,MOT-LON-BRK,TP_Injury,2024-04-25,2024-05-04,2024-05-04,0,RESERVE_CHANGE,2806.94,False,Motor,London,Broker
CLM-0003442,MOT-LON-BRK,TP_Injury,2024-04-25,2024-05-04,2024-09-01,5,PAYMENT,594.82,False,Motor,London,Broker
CLM-0003442,MOT-LON-BRK,TP_Injury,2024-04-25,2024-05-04,2024-09-01,5,RESERVE_CHANGE,-177.73,False,Motor,London,Broker
CLM-0003442,MOT-LON-BRK,TP_Injury,2024-04-25,2024-05-04,2024-12-30,8,PAYMENT,2629.21,False,Motor,London,Broker
CLM-0003442,MOT-LON-BRK,TP_Injury,2024-04-25,2024-05-04,2024-12-30,8,RESERVE_CHANGE,-2629.21,False,Motor,London,Broker
CLM-0003443,MOT-LON-BRK,AD,2024-09-05,2024-09-06,2024-09-06,0,RESERVE_CHANGE,8435.61,False,Motor,London,Broker
CLM-0003443,MOT-LON-BRK,AD,2024-09-05,2024-09-06,2025-08-02,11,PAYMENT,1471.36,False,Motor,London,Broker
CLM-0003443,MOT-LON-BRK,AD,2024-09-05,2024-09-06,2025-08-02,11,RESERVE_CHANGE,-1081.89,False,Motor,London,Broker
CLM-0003443,MOT-LON-BRK,AD,2024-09-05,2024-09-06,2025-09-27,12,RESERVE_CHANGE,-7353.72,False,Motor,London,Broker
CLM-0003444,MOT-LON-BRK,Theft,2024-12-01,2024-12-09,2024-12-09,0,RESERVE_CHANGE,2599.3,False,Motor,London,Broker
CLM-0003444,MOT-LON-BRK,Theft,2024-12-01,2024-12-09,2025-04-08,4,PAYMENT,2299.0,False,Motor,London,Broker
CLM-0003444,MOT-LON-BRK,Theft,2024-12-01,2024-12-09,2025-04-08,4,RESERVE_CHANGE,-2599.3,False,Motor,London,Broker
CLM-0003444,MOT-LON-BRK,Theft,2024-12-01,2024-12-09,2025-04-08,4,RECOVERY,-542.76,False,Motor,London,Broker
CLM-0003445,MOT-LON-BRK,AD,2024-02-13,2024-02-13,2024-02-13,0,RESERVE_CHANGE,2323.44,False,Motor,London,Broker
CLM-0003445,MOT-LON-BRK,AD,2024-02-13,2024-02-13,2024-10-10,8,PAYMENT,2352.49,False,Motor,London,Broker
CLM-0003445,MOT-LON-BRK,AD,2024-02-13,2024-02-13,2024-10-10,8,RESERVE_CHANGE,-2323.44,False,Motor,London,Broker
CLM-0003446,MOT-LON-BRK,AD,2024-04-25,2024-05-01,2024-05-01,0,RESERVE_CHANGE,5065.81,False,Motor,London,Broker
CLM-0003446,MOT-LON-BRK,AD,2024-04-25,2024-05-01,2024-12-27,8,PAYMENT,2097.22,False,Motor,London,Broker
CLM-0003446,MOT-LON-BRK,AD,2024-04-25,2024-05-01,2024-12-27,8,RESERVE_CHANGE,-2845.18,False,Motor,London,Broker
CLM-0003446,MOT-LON-BRK,AD,2024-04-25,2024-05-01,2025-02-25,10,PAYMENT,2220.63,False,Motor,London,Broker
CLM-0003446,MOT-LON-BRK,AD,2024-04-25,2024-05-01,2025-02-25,10,RESERVE_CHANGE,-2220.63,False,Motor,London,Broker
CLM-0003447,MOT-LON-BRK,AD,2024-07-31,2024-08-05,2024-08-05,0,RESERVE_CHANGE,4535.37,False,Motor,London,Broker
CLM-0003447,MOT-LON-BRK,AD,2024-07-31,2024-08-05,2024-09-04,2,PAYMENT,1164.37,False,Motor,London,Broker
CLM-0003447,MOT-LON-BRK,AD,2024-07-31,2024-08-05,2024-09-04,2,RESERVE_CHANGE,-1313.85,False,Motor,London,Broker
CLM-0003447,MOT-LON-BRK,AD,2024-07-31,2024-08-05,2024-11-03,4,PAYMENT,1983.45,False,Motor,London,Broker
CLM-0003447,MOT-LON-BRK,AD,2024-07-31,2024-08-05,2024-11-03,4,RESERVE_CHANGE,-1983.45,False,Motor,London,Broker
CLM-0003447,MOT-LON-BRK,AD,2024-07-31,2024-08-05,2024-11-03,4,RECOVERY,-204.03,False,Motor,London,Broker
CLM-0003447,MOT-LON-BRK,AD,2024-07-31,2024-08-05,2025-01-15,6,RESERVE_CHANGE,-1238.07,False,Motor,London,Broker
CLM-0003448,MOT-LON-BRK,TP_Injury,2024-02-25,2024-02-27,2024-02-27,0,RESERVE_CHANGE,2641.27,False,Motor,London,Broker
CLM-0003448,MOT-LON-BRK,TP_Injury,2024-02-25,2024-02-27,2024-11-23,9,PAYMENT,337.87,False,Motor,London,Broker
CLM-0003448,MOT-LON-BRK,TP_Injury,2024-02-25,2024-02-27,2024-11-23,9,RESERVE_CHANGE,-782.18,False,Motor,London,Broker
CLM-0003448,MOT-LON-BRK,TP_Injury,2024-02-25,2024-02-27,2024-12-23,10,PAYMENT,1659.3,False,Motor,London,Broker
CLM-0003448,MOT-LON-BRK,TP_Injury,2024-02-25,2024-02-27,2024-12-23,10,RESERVE_CHANGE,-1659.3,False,Motor,London,Broker
CLM-0003448,MOT-LON-BRK,TP_Injury,2024-02-25,2024-02-27,2025-03-23,13,PAYMENT,199.79,False,Motor,London,Broker
CLM-0003448,MOT-LON-BRK,TP_Injury,2024-02-25,2024-02-27,2025-03-23,13,RESERVE_CHANGE,-199.79,False,Motor,London,Broker
CLM-0003449,MOT-LON-BRK,Theft,2024-04-02,2024-05-20,2024-05-20,0,RESERVE_CHANGE,2518.15,False,Motor,London,Broker
CLM-0003449,MOT-LON-BRK,Theft,2024-04-02,2024-05-20,2024-08-18,4,PAYMENT,1102.77,False,Motor,London,Broker
CLM-0003449,MOT-LON-BRK,Theft,2024-04-02,2024-05-20,2024-08-18,4,RESERVE_CHANGE,-1205.04,False,Motor,London,Broker
CLM-0003449,MOT-LON-BRK,Theft,2024-04-02,2024-05-20,2025-02-14,10,PAYMENT,1313.12,False,Motor,London,Broker
CLM-0003449,MOT-LON-BRK,Theft,2024-04-02,2024-05-20,2025-02-14,10,RESERVE_CHANGE,-1313.12,False,Motor,London,Broker
CLM-0003450,MOT-LON-BRK,TP_Damage,2024-08-08,2024-08-14,2024-08-14,0,RESERVE_CHANGE,6350.06,False,Motor,London,Broker
CLM-0003450,MOT-LON-BRK,TP_Damage,2024-08-08,2024-08-14,2024-12-12,4,PAYMENT,5197.62,False,Motor,London,Broker
CLM-0003450,MOT-LON-BRK,TP_Damage,2024-08-08,2024-08-14,2024-12-12,4,RESERVE_CHANGE,-6350.06,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2024-05-06,0,RESERVE_CHANGE,6088.96,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2024-06-05,1,PAYMENT,709.01,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2024-06-05,1,RESERVE_CHANGE,12.19,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-01-01,8,PAYMENT,1620.09,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-01-01,8,RESERVE_CHANGE,-1620.09,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-03-02,10,PAYMENT,1934.45,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-03-02,10,RESERVE_CHANGE,-1934.45,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-05-31,12,PAYMENT,1246.06,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-05-31,12,RESERVE_CHANGE,-1246.06,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-05-31,12,RECOVERY,-105.36,False,Motor,London,Broker
CLM-0003451,MOT-LON-BRK,TP_Injury,2024-05-06,2024-05-06,2025-07-06,14,RESERVE_CHANGE,-1300.55,False,Motor,London,Broker
CLM-0003452,MOT-LON-BRK,Windscreen,2024-04-14,2024-05-03,2024-05-03,0,RESERVE_CHANGE,5964.48,False,Motor,London,Broker
CLM-0003452,MOT-LON-BRK,Windscreen,2024-04-14,2024-05-03,2025-05-28,13,PAYMENT,4898.72,False,Motor,London,Broker
CLM-0003452,MOT-LON-BRK,Windscreen,2024-04-14,2024-05-03,2025-05-28,13,RESERVE_CHANGE,-5964.48,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2024-07-12,0,RESERVE_CHANGE,2631.42,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2024-11-09,4,PAYMENT,173.28,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2024-11-09,4,RESERVE_CHANGE,-329.79,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-02-07,7,PAYMENT,862.75,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-02-07,7,RESERVE_CHANGE,-862.75,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-03-09,8,PAYMENT,697.31,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-03-09,8,RESERVE_CHANGE,-697.31,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-05-08,10,PAYMENT,469.88,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-05-08,10,RESERVE_CHANGE,-469.88,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-11-04,16,PAYMENT,271.69,False,Motor,London,Broker
CLM-0003453,MOT-LON-BRK,TP_Damage,2024-07-11,2024-07-12,2025-11-04,16,RESERVE_CHANGE,-271.69,False,Motor,London,Broker
CLM-0003454,MOT-LON-BRK,AD,2024-11-10,2024-11-12,2024-11-12,0,RESERVE_CHANGE,2253.09,False,Motor,London,Broker
CLM-0003455,MOT-LON-BRK,Windscreen,2024-02-21,2024-02-21,2024-02-21,0,RESERVE_CHANGE,7639.14,False,Motor,London,Broker
CLM-0003455,MOT-LON-BRK,Windscreen,2024-02-21,2024-02-21,2024-09-18,7,PAYMENT,4396.7,False,Motor,London,Broker
CLM-0003455,MOT-LON-BRK,Windscreen,2024-02-21,2024-02-21,2024-09-18,7,RESERVE_CHANGE,-4789.68,False,Motor,London,Broker
CLM-0003455,MOT-LON-BRK,Windscreen,2024-02-21,2024-02-21,2024-12-17,10,PAYMENT,617.68,False,Motor,London,Broker
CLM-0003455,MOT-LON-BRK,Windscreen,2024-02-21,2024-02-21,2024-12-17,10,RESERVE_CHANGE,-617.68,False,Motor,London,Broker
CLM-0003455,MOT-LON-BRK,Windscreen,2024-02-21,2024-02-21,2025-02-15,12,PAYMENT,2231.77,False,Motor,London,Broker
CLM-0003455,MOT-LON-BRK,Windscreen,2024-02-21,2024-02-21,2025-02-15,12,RESERVE_CHANGE,-2231.77,False,Motor,London,Broker
CLM-0003456,MOT-LON-BRK,Windscreen,2024-08-17,2024-08-22,2024-08-22,0,RESERVE_CHANGE,785.34,False,Motor,London,Broker
CLM-0003456,MOT-LON-BRK,Windscreen,2024-08-17,2024-08-22,2025-05-19,9,PAYMENT,317.17,False,Motor,London,Broker
CLM-0003456,MOT-LON-BRK,Windscreen,2024-08-17,2024-08-22,2025-05-19,9,RESERVE_CHANGE,-260.4,False,Motor,London,Broker
CLM-0003456,MOT-LON-BRK,Windscreen,2024-08-17,2024-08-22,2025-07-18,11,PAYMENT,224.62,False,Motor,London,Broker
CLM-0003456,MOT-LON-BRK,Windscreen,2024-08-17,2024-08-22,2025-07-18,11,RESERVE_CHANGE,-224.62,False,Motor,London,Broker
CLM-0003456,MOT-LON-BRK,Windscreen,2024-08-17,2024-08-22,2025-12-15,16,PAYMENT,300.32,False,Motor,London,Broker
CLM-0003456,MOT-LON-BRK,Windscreen,2024-08-17,2024-08-22,2025-12-15,16,RESERVE_CHANGE,-300.32,False,Motor,London,Broker
CLM-0003457,MOT-LON-BRK,Theft,2024-02-25,2024-03-17,2024-03-17,0,RESERVE_CHANGE,2584.93,False,Motor,London,Broker
CLM-0003457,MOT-LON-BRK,Theft,2024-02-25,2024-03-17,2024-12-12,10,PAYMENT,2780.96,False,Motor,London,Broker
CLM-0003457,MOT-LON-BRK,Theft,2024-02-25,2024-03-17,2024-12-12,10,RESERVE_CHANGE,-2584.93,False,Motor,London,Broker
CLM-0003457,MOT-LON-BRK,Theft,2024-02-25,2024-03-17,2024-12-12,10,RECOVERY,-813.68,False,Motor,London,Broker
CLM-0003458,MOT-LON-BRK,AD,2024-06-06,2024-06-11,2024-06-11,0,RESERVE_CHANGE,709.25,False,Motor,London,Broker
CLM-0003458,MOT-LON-BRK,AD,2024-06-06,2024-06-11,2024-10-09,4,PAYMENT,265.1,False,Motor,London,Broker
CLM-0003458,MOT-LON-BRK,AD,2024-06-06,2024-06-11,2024-10-09,4,RESERVE_CHANGE,-214.79,False,Motor,London,Broker
CLM-0003458,MOT-LON-BRK,AD,2024-06-06,2024-06-11,2025-01-07,7,PAYMENT,494.46,False,Motor,London,Broker
CLM-0003458,MOT-LON-BRK,AD,2024-06-06,2024-06-11,2025-01-07,7,RESERVE_CHANGE,-494.46,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2024-08-15,0,RESERVE_CHANGE,8399.87,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2025-04-12,8,PAYMENT,2726.75,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2025-04-12,8,RESERVE_CHANGE,-3315.18,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2025-04-12,8,RECOVERY,-624.77,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2025-04-12,8,PAYMENT,4409.92,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2025-04-12,8,RESERVE_CHANGE,-4409.92,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2025-09-09,13,PAYMENT,674.77,False,Motor,London,Broker
CLM-0003459,MOT-LON-BRK,TP_Injury,2024-08-08,2024-08-15,2025-09-09,13,RESERVE_CHANGE,-674.77,False,Motor,London,Broker
CLM-0003460,MOT-LON-BRK,TP_Damage,2024-02-25,2024-02-27,2024-02-27,0,RESERVE_CHANGE,4445.45,False,Motor,London,Broker
CLM-0003460,MOT-LON-BRK,TP_Damage,2024-02-25,2024-02-27,2024-03-28,1,PAYMENT,1212.74,False,Motor,London,Broker
CLM-0003460,MOT-LON-BRK,TP_Damage,2024-02-25,2024-02-27,2024-03-28,1,RESERVE_CHANGE,-2044.22,False,Motor,London,Broker
CLM-0003460,MOT-LON-BRK,TP_Damage,2024-02-25,2024-02-27,2024-06-26,4,PAYMENT,2401.23,False,Motor,London,Broker
CLM-0003460,MOT-LON-BRK,TP_Damage,2024-02-25,2024-02-27,2024-06-26,4,RESERVE_CHANGE,-2401.23,False,Motor,London,Broker
CLM-0003461,MOT-LON-BRK,Windscreen,2024-03-29,2024-04-01,2024-04-01,0,RESERVE_CHANGE,3274.64,False,Motor,London,Broker
CLM-0003461,MOT-LON-BRK,Windscreen,2024-03-29,2024-04-01,2024-05-01,2,PAYMENT,809.37,False,Motor,London,Broker
CLM-0003461,MOT-LON-BRK,Windscreen,2024-03-29,2024-04-01,2024-05-01,2,RESERVE_CHANGE,-1190.62,False,Motor,London,Broker
CLM-0003461,MOT-LON-BRK,Windscreen,2024-03-29,2024-04-01,2024-05-01,2,PAYMENT,1849.32,False,Motor,London,Broker
CLM-0003461,MOT-LON-BRK,Windscreen,2024-03-29,2024-04-01,2024-05-01,2,RESERVE_CHANGE,-1849.32,False,Motor,London,Broker
CLM-0003461,MOT-LON-BRK,Windscreen,2024-03-29,2024-04-01,2024-10-28,7,PAYMENT,220.62,False,Motor,London,Broker
